pickup point,last part
"""110 , road 4 , block c, bashundhara r/a""","""bashundhara r/a"""
"""hattimatim , adarsha nagar , badda""","""badda"""
"""a. rahman & associates , naya paltan""","""naya paltan"""
"""ghoroya restora and hotel , h 186 , toyenbee circular rd , arambag""","""arambag"""
"""saba pharmacy 2, south kazxla ( nayanagar) , jatrabari""","""jatrabari"""
"""bhola store , pirerbag , mirpur""","""mirpur"""
"""fast tech bd , green road , panthapath""","""panthapath"""
"""new kolapata restaurant , agargaon , mirpur""","""mirpur"""
"""shahjadpur fashion , gabtali , mirpur""","""mirpur"""
"""matrichhaya , 164/c/1 , moddho paikpara , mukti housing , moddho paikpara""","""moddho paikpara"""
"""king optics , gulshan 2, gulshan""","""gulshan"""
"""elite tailors and fabrics, sector 3 uttara""","""sector 3 uttara"""
"""bangladesh bank officers quarter""","""bangladesh bank officers quarter"""
"""12/14 , block a , sir sayed road , mohammadpur""","""mohammadpur"""
"""desco , h 1/ka , mirpur 6 inside rd , mirpur 6""","""mirpur 6"""
"""driving range army golf club,dhaka cantonment""","""dhaka cantonment"""
"""iron lodge fitness studio,central road,dhanmondi""","""dhanmondi"""
"""diganta , rupnagar residential area , mirpur""","""mirpur"""
"""shankhochil,h 12,rd 4,block b,banashree""","""banashree"""
"""gulshan 1 road no 127 house no 7e""","""gulshan 1 road no 127 house no 7e"""
"""s r refregaretor,269/1,ibrahimpur road,uttar kafrul,purba kazipara""","""purba kazipara"""
"""aesthetic events , block f , banani""","""banani"""
"""mohua arcade , h 15 , rd 7 , banani""","""banani"""
"""customization bd,block h,mirpur 2""","""mirpur 2"""
"""emon enterprise,east nakhalpara,tejgaon""","""tejgaon"""
"""bismilla dry clining & laundry , h 54/2 , rd 4 , pc culture housing society , mohammadpur""","""mohammadpur"""
"""book buy bd , nilkhet , new market""","""new market"""
"""grameenphone office,alhaz abdus sobhan rd, bashundhara r/a""","""bashundhara r/a"""
"""metro politan medical centre ltd , mohakhali""","""mohakhali"""
"""al amin fast food,h 78,mirpur rd,nbew market""","""nbew market"""
"""bangladesh police officers mess,eskaton garden road,ramna""","""ramna"""
"""popular diagnosis centre and consultancy ( building 6 ) , residential area , dhanmondi""","""dhanmondi"""
"""t a tunir bari,tilpapara,khilgaon""","""khilgaon"""
"""azad store , industroial area , tejgaon""","""tejgaon"""
"""nanna biriyani house , t 143/1 , gulshan link rd , middle badda""","""middle badda"""
"""hot & spice,middle badda""","""middle badda"""
"""crisp, chef's table courtside , madani avenue, 100 feet road""","""100 feet road"""
"""sarak 2 1 , basundhara r/a""","""basundhara r/a"""
"""southeast university,nabisco road,industrial area,tejgaon""","""tejgaon"""
"""mirpur national zoo,zoo rd,mirpur 2""","""mirpur 2"""
"""dhka railway station""","""dhka railway station"""
"""hakka dhaka , h 34 , rd 10 , banani""","""banani"""
"""garden restaurant,h 146/2,new baily rd""","""new baily rd"""
"""dbbl atm , zahir raihan road , noorbagh , siddikbazar""","""siddikbazar"""
"""econo service,bus counter,maniknagar,tt para""","""tt para"""
"""h 52/a, rd 11, pc culture housing society , mohammadpur""","""mohammadpur"""
"""delivery tiger new market hub,new paltan line,azimpur""","""azimpur"""
"""sanu general store , babar rd , mohammadpur""","""mohammadpur"""
"""latim travels and tourism,adarsha nagar,badda""","""badda"""
"""rayerbag bus stand""","""rayerbag bus stand"""
"""house 283, road no 1, block b, bashundhara r/a""","""bashundhara r/a"""
"""nam village,10,road no 2,mohakhali,gulshan""","""gulshan"""
"""bashundhara panir pump , al haj  abdus sobhan road 1 , bashundhara r/a""","""bashundhara r/a"""
"""police canteen,new airport rd,kurmitola""","""kurmitola"""
"""bangladesh specialized hospital shyamoli , mohammadpur""","""mohammadpur"""
"""north badda foot over bridge""","""north badda foot over bridge"""
"""international trade fair,section 04,purbachal""","""purbachal"""
"""478/ khilgaon flyover , dokkhin shahjahanpur""","""dokkhin shahjahanpur"""
"""sst logistic,road 10,block e,banani""","""banani"""
"""central vetenary hospital jame mosque,48,kazi alauddin road,fakirapool,siddikbazar""","""siddikbazar"""
"""lotun stationery & computers,kemal ataturk avenue,banani""","""banani"""
"""creative cuisine,arambag residential area,mirpur 7""","""mirpur 7"""
"""al hasan farmacy,block a,niketon""","""niketon"""
"""star hotel & kabab,residential area,dhanmondi""","""dhanmondi"""
"""mitaly bhaban,365/1,notyj pererbuug,mukti housing,dokkhin monipur""","""dokkhin monipur"""
"""h la bamba,h 99,satmasjid rd,dhanmondi""","""dhanmondi"""
"""khanika,h 3/1m,rd 8,banashree,rampura""","""rampura"""
"""i/3,block e,kazi nazrul islam road,mohammadpur""","""mohammadpur"""
"""tempo stand1,south banasree""","""south banasree"""
"""taagaman,industrial area,tejgaon""","""tejgaon"""
"""opus fashion,poribagh,shahbagh""","""shahbagh"""
"""rita villa,2/12,kallyanpur prodhan sarak,notun bazar,mukti housing,moddho paikpara""","""moddho paikpara"""
"""203,uttar shyamoli,paschim agargaon,shyamoli road no 2,mukti housing,uttar shyamoli,paschim agargaon""","""paschim agargaon"""
"""ananya shopping complex,baridhara d o h s main road,banani,gulshan""","""gulshan"""
"""great britain fish n chips,block e,banani""","""banani"""
"""bhuiyan mansion,11,pallabi,mirpur 12""","""mirpur 12"""
"""nishat enterprise,365/3,ahmmed nagar,paikpara,senpara parbata,ahmed nagar""","""ahmed nagar"""
"""muntaka furniture complex,sher e bangla national cricket stadium,mirpur 2""","""mirpur 2"""
"""moushi fashion tailors,250/1,ahmed nagar,paikpara,senpara parbata,ahmed nagar""","""ahmed nagar"""
"""the regdia,27,road 114,gulshan 2,gulshan""","""gulshan"""
"""12//tha,shyamoli road no 3,mukti housing,uttar shyamoli,paschim agargaon""","""paschim agargaon"""
"""zam zam convention hall,muktobangla shopping complex,mirpur 1""","""mirpur 1"""
"""meet 2 eat,nsu road,bashundhara r/a""","""bashundhara r/a"""
"""bashundhara city shopping complex,panthapath,dhaka""","""dhaka"""
"""joynal cofee house,west shewrapara,mirpur""","""mirpur"""
"""navana nandale,44,road 1,niketon block a,niketon housing society,gulshan""","""gulshan"""
"""property palace,monipur,mirpur 2""","""mirpur 2"""
"""k g hospital,becharam dewri ln,bangshal""","""bangshal"""
"""allahr dan store,h 5,mirpur 13""","""mirpur 13"""
"""rainbow digital print house,naya paltan""","""naya paltan"""
"""h 57/7,amtola,kazipara""","""kazipara"""
"""babul hotel,west nakhalpara,tejgaon""","""tejgaon"""
"""bhai bhai beding store,430/4/a,south kafrul road,paschim kafrul""","""paschim kafrul"""
"""motijheel kitchen yard,shapla chottor,motijheel""","""motijheel"""
"""manor,45,road 12a,dhanmondi r/a""","""dhanmondi r/a"""
"""square hospitals ltd,panthapath rd,kalabagan""","""kalabagan"""
"""869,60 feet,mukti housing,dokkhin monipur""","""dokkhin monipur"""
"""kamalapur railway station,kamalapur""","""kamalapur"""
"""greenvill futsal,madani avenue,100 feet road""","""100 feet road"""
"""tongabari,ashulia""","""ashulia"""
"""152,mala boks sordar lane,wireless,mogbazar""","""mogbazar"""
"""sayem rd end point,block a,bashundhara r/a""","""bashundhara r/a"""
"""jahaj building,shahjahanpur,north shahjahanpur""","""north shahjahanpur"""
"""h 505/a,adharsha moholla rd,mirpur 14""","""mirpur 14"""
"""banolota sweets and bakery,h 1,rd 5,mirpur 10""","""mirpur 10"""
"""grameen bilas restaurant,sector 15,purbachal""","""purbachal"""
"""shai , block f, banani""","""banani"""
"""masud tea stall , dhaka city bypass, board bazar""","""board bazar"""
"""hello food , ibrahimpur , kachukhet""","""kachukhet"""
"""bijoy rakeen city building a8, tower 2""","""tower 2"""
"""vervain banani , block g""","""block g"""
"""best street kebab, eidgah matt , sony hall , mirpur 1""","""mirpur 1"""
"""67/a , road 12a, dhanmondi r/a""","""dhanmondi r/a"""
"""21/1, dhaka cantonment , pulpar , uttar kafrul , purba kazipara""","""purba kazipara"""
"""allahr dan khabar hotel and restaurant""","""allahr dan khabar hotel and restaurant"""
"""embassy of greece , rd 129 , gulshan 1""","""gulshan 1"""
"""rass associate ltd, dohs , mirpur""","""mirpur"""
"""paradise house , 396 , sarak 7 , baridhara r/a""","""baridhara r/a"""
"""house 66, road 13 , sector 11, uttara""","""uttara"""
"""siurov's kitchen , matikata , mirpur ecb""","""mirpur ecb"""
"""noir , 72 , road 11, banani""","""banani"""
"""radiant,h 9 13,rd 2,aftab nagar project,badda""","""badda"""
"""grameenphone head office , alhaz abdus sobhan rd , block b , bashundhara r/a""","""bashundhara r/a"""
"""baitus salam jame masjid,samata sarak,nurerchala,vatara""","""vatara"""
"""34/8 pallabi , pallabi , mirpur 12""","""mirpur 12"""
"""unimart,gulshan 2,gulshan""","""gulshan"""
"""bokhari automotives , industrial area tejgaon""","""industrial area tejgaon"""
"""eastern point,shantinagar rd,shantinagar""","""shantinagar"""
"""rewana & basundhara block f , road 8 house 153""","""road 8 house 153"""
"""niketon park,gulshan 1,gulshan""","""gulshan"""
"""sheikh hazi miyar bari , 297 , east kazi para , west kafrul , purba kazipara""","""purba kazipara"""
"""house 20,road 13,sector 7,uttara""","""uttara"""
"""mirpur 12 bus stand , begum rokeya sharani , harunabad , mirpur 12""","""mirpur 12"""
"""chartered life insurance company ltd""","""chartered life insurance company ltd"""
"""m a khan , h 416/4, rd 45 b , taltola khilgaon""","""taltola khilgaon"""
"""santi nibas,south monipur,mirpur 2""","""mirpur 2"""
"""h 16 , rd 2 , aftab nagar project , badda""","""badda"""
"""a r telecom . nobodoy housing , adabor""","""adabor"""
"""j.n saha rd , lalbag""","""lalbag"""
"""dutch bangla bank limited(dbbl)west dhanmondi""","""dutch bangla bank limited(dbbl)west dhanmondi"""
"""rk travels , darus salam , kallyanpur""","""kallyanpur"""
"""cosmic steel buildings ltd,kallyanpur,mirpur""","""mirpur"""
"""food art , mirpur 14""","""mirpur 14"""
"""khan villa , mohammadia residential area , mohammadpur""","""mohammadpur"""
"""brac bank limited,west rajabazar,indira road,panthapath""","""panthapath"""
"""south valley , block g , bashundhara r/a""","""bashundhara r/a"""
"""dream garden , h 32 , rd 3 , block a , banashree""","""banashree"""
"""d s pharmacy dhaka medical college cangkhar pool""","""d s pharmacy dhaka medical college cangkhar pool"""
"""rubis beauty parlour,tiktuli,wari""","""wari"""
"""japan bangladesh friendship hospital , road 3/a , dhanmondi""","""dhanmondi"""
"""hazi shamiullah complex , mirpur rd , gabtali""","""gabtali"""
"""dutch bangla bank ltd,atm ,500/a/1(old),rd  8,dhanmondi""","""dhanmondi"""
"""prezzie , road 27 ( old ), dhanmondi""","""dhanmondi"""
"""hosue 37 , road 1, block f, sector 1 , aftabnagar""","""aftabnagar"""
"""shohortoli platform(narayangonj jawar railway)""","""shohortoli platform(narayangonj jawar railway)"""
"""al- modina store , postogola shyamoli""","""postogola shyamoli"""
"""the city shops bd , sks tower , vip road , mohakhali dohs , mohakhali""","""mohakhali"""
"""sajib products , purana paltan""","""purana paltan"""
"""hair style salon , block a , mirpur 11""","""mirpur 11"""
"""shiraji bhaban , h 174 , green rd""","""green rd"""
"""robi water aid , kamalapur railway station""","""kamalapur railway station"""
"""451/1 , west monipur , mukti housing , paschim monipur""","""paschim monipur"""
"""199 , line 24 , section 11""","""section 11"""
"""y/26 ,  razia sultana road , mohammadpur""","""mohammadpur"""
"""doctors canteen , zahir raihan sarani , dhaka medical college""","""dhaka medical college"""
"""al karim general store , west dholairpar""","""west dholairpar"""
"""h 116 , new eskaton rd , new eskaton""","""new eskaton"""
"""star kabab , 12/a , west dhanmondi""","""west dhanmondi"""
"""galito's , gulshan 2""","""gulshan 2"""
"""doctors canteen , zahir raihan sarani , dhaka medical college""","""dhaka medical college"""
"""firoz store , postogola , shyamoli""","""shyamoli"""
"""tecomen water filter , mohakhali dohs""","""mohakhali dohs"""
"""black birch kitchen & lounge , block g , banani""","""banani"""
"""chocolate 7 food fair , chamelibagh , shantinagar""","""shantinagar"""
"""uttara bank limited , shishu hospital road , senpara parbata , borobagh""","""borobagh"""
"""ahmed akbar sobhan karjaloy , block e , bashundhara""","""bashundhara"""
"""taza fol-1 mexican food , residential area , dhanmondi""","""dhanmondi"""
"""suvastu arcade b( ict bhaban ) new elephant road , katabon""","""katabon"""
"""crystal castle , h 3/9 , asad ave , mohammadpur""","""mohammadpur"""
"""polwell shopping center , dhaka- mymensingh highway , sector 9 , uttara , dhaka bangladesh , uttara""","""uttara"""
"""mayer doa furnitures , private lane , sikdar estate , hazaribagh""","""hazaribagh"""
"""dutch bangla bank ltd atm , rd 3 , shah ali bag , mirpur 1""","""mirpur 1"""
"""270/ka , banalata adashik alaka , road-3 , mukti housing , paschim agargaon""","""paschim agargaon"""
"""dream home , house 1036 , road 49 , block l , bashundhara r/a""","""bashundhara r/a"""
"""jahan fashion , sector 3, uttara""","""uttara"""
"""kuril public toilet , bishaw road""","""bishaw road"""
"""dhaka chittagong highway , sontek jatrabari""","""sontek jatrabari"""
"""bushra dental clinic , h 2/b , tajmahal rd , mohammadpur""","""mohammadpur"""
"""food satisfaction , progati shoroni road , shahjadpur""","""shahjadpur"""
"""swarna kanon , jewellers , green road , panthapath""","""panthapath"""
"""fatema general store , mirpur 10 1 service road , senpara parbata , borobagh""","""borobagh"""
"""alco pharma ltd , section 7 , mirpur""","""mirpur"""
"""silver spring , 133 , d block 7 no road block d, bashundhara r/a""","""bashundhara r/a"""
"""khan & mone funishers , shahjahanpur , motijheel""","""motijheel"""
"""azimpur chapra mosjid road , noorbagh , siddikbazar""","""siddikbazar"""
"""realiance building , h 146 , rd 8 , block d , bashundhara r/a""","""bashundhara r/a"""
"""nodi latest fashion house in dhaka , nilkhet , new market""","""new market"""
"""one point cng service center , kachukhet , dhaka cantonment""","""dhaka cantonment"""
"""37/e, road 3 , block d, bashundhara r/a""","""bashundhara r/a"""
"""shimul  tola , pirerbag""","""pirerbag"""
"""h 159/a, al helal hospital rd , senpara parbata , mirpur 10""","""mirpur 10"""
"""eastern housing 2 , kallyanpur""","""kallyanpur"""
"""barishal store , sadarghat launch terminal""","""sadarghat launch terminal"""
"""sony cinema hall traffic police box, section 1 , mirpur""","""mirpur"""
"""burhani hardware & glass , segunbagicha""","""segunbagicha"""
"""meyor mohammad sayed khokon center , distilary road , gopibag , dayaganj""","""dayaganj"""
"""freelancer shakil ahmed , sipahibagh, khilgaon""","""khilgaon"""
"""ahsan fast food & mini chinese taltola rd , khilgaon""","""khilgaon"""
"""shahjalal multi storied car parking , new airport rd""","""new airport rd"""
"""doyel chattar , suhrawardy udyan rd , ramna""","""ramna"""
"""waffle r , niketon , gulshan 1""","""gulshan 1"""
"""bandbox laundry and drycleaning , 44/11 , pantha path , dhanmondi""","""dhanmondi"""
"""asgar ali hospital , opd pharmacy dhupkhola , gandaria""","""gandaria"""
"""shomriddhi , block c , bashundhara r/a""","""bashundhara r/a"""
"""bismillah pharmacy & telecom , west dholairpar""","""west dholairpar"""
"""bhandary general store , shantinagar rd , shantinagar""","""shantinagar"""
"""dhaka airport railway station""","""dhaka airport railway station"""
"""h 116 , kazi nazrul islam ave , paribag""","""paribag"""
"""spice catering limited , road 33 gulshan 1 gulshan""","""road 33 gulshan 1 gulshan"""
"""h 971, begum rokeya sarani , west shewrapara""","""west shewrapara"""
"""united hospital , rd 71 , gulshan 2""","""gulshan 2"""
"""green view , 127 , road 3 ,section 12""","""section 12"""
"""h 12, rd 140 , gulshan 1""","""gulshan 1"""
"""gausia hotel and restaurant , shikkatuli""","""shikkatuli"""
"""sujan medical hall , kosaituli , bangshal""","""bangshal"""
"""durga mandir , suhrawardy udyan rd , ramna""","""ramna"""
"""109/1 kakrail road , gawsia dynasty , flat f3 , dhaka""","""dhaka"""
"""soil test company dhaka , market24 , mohakhali bazar road""","""mohakhali bazar road"""
"""basiron villa, 5/2 , sharat chandra chakraborty road , noorbagh , babu bazar""","""babu bazar"""
"""murad store , h 171 , wireless rd , mohakhali""","""mohakhali"""
"""grameen bank , bot tola rd , 1711""","""1711"""
"""bangla academy , secretariat rd , university of dhaka , ramna""","""ramna"""
"""jilani villa , 16 , section 6""","""section 6"""
"""dmch garden park dhaka medical college hospital bagan pa""","""dmch garden park dhaka medical college hospital bagan pa"""
"""10/2 , master para road , senpara parbata , borobagh""","""borobagh"""
"""boshir hair style & gents parlour , 27 , section 2""","""section 2"""
"""bailey road officers colony , viquarunnisa road , teachers residences , paltan""","""paltan"""
"""tong , south madartek""","""south madartek"""
"""telebrands bangladesh , rajabazar , panthapath""","""panthapath"""
"""real dairy , block l , banani""","""banani"""
"""biddut bhaban , h 1 , abdul gani rd , purana paltan""","""purana paltan"""
"""dutch bangla bank , mirpur road , section 2""","""section 2"""
"""airport rent a car service , hazrat shahajalal international airport, kurmitola""","""kurmitola"""
"""h 12/a , rd 9  janata housing mohammadpur""","""rd 9  janata housing mohammadpur"""
"""craveat , h 67/d , rd 11 , banani""","""banani"""
"""m/s r.s automobiles , naya paltan""","""naya paltan"""
"""urban garden , 5 , road 121 , gulshan 1 , gulshan""","""gulshan"""
"""ibn sina hospital & cardiac , h  68 , rd 15/a , dhanmondi""","""dhanmondi"""
"""ln 8/b , baridhara dohs""","""baridhara dohs"""
"""seikh rasel gastro liver institute and hospital , mohakhali""","""mohakhali"""
"""asha cement,gulshan 2""","""gulshan 2"""
"""brtc bus counter,fulbaria,gulshan""","""gulshan"""
"""brother poultry,s kamruzzaman sarani,fulbaria""","""fulbaria"""
"""gacorap health center,west rampura""","""west rampura"""
"""tampopo kabab house""","""tampopo kabab house"""
"""h 349/2,dilu rd,new eskaton""","""new eskaton"""
"""mohammadia super market,mirpur road,dhanmondi""","""dhanmondi"""
"""road 13/c,house 18,banani""","""banani"""
"""premier bank ltd,rd 2/b,natun bazar""","""natun bazar"""
"""ipshita telecom,r m das ln,farashganj,sutrapur""","""sutrapur"""
"""shyamoli nr travels technical mor counter,goidartek,darus salam,mirpur""","""mirpur"""
"""assistant controller of store,bangladesh railway,kamalapur,railway station""","""railway station"""
"""alif/15,bloc e,zakir hossain road,mohammadpur""","""mohammadpur"""
"""house 10,road 06,sector 10,uttara""","""uttara"""
"""h 3/f,girls school rd,kalabagan""","""kalabagan"""
"""building no b-7,bcic staff colony,mirpur zoo road""","""mirpur zoo road"""
"""20/3,road no 1,mohammadi housing limited,mohammadpur""","""mohammadpur"""
"""m/s r s automobiles,naya paltan""","""naya paltan"""
"""house 04,road18,sector 12,uttara""","""uttara"""
"""matka cafe,dcc market,banani""","""banani"""
"""sajida mansion,44/29,basiruddin road,dhanmondi""","""dhanmondi"""
"""hazi falu mia bari,east kazipara,mirpur 10""","""mirpur 10"""
"""iqbal center,kamal ataturk avenue,banani""","""banani"""
"""innergfo,training,gulshan 2,gulshan""","""gulshan"""
"""mizan tower,254 255,road no 10,block a, bashundhara r/a""","""bashundhara r/a"""
"""bijoy rakeen city building ab tower 2""","""bijoy rakeen city building ab tower 2"""
"""bikrompur mistanno bhandar,h 117/2,naya paltan rd,naya paltan""","""naya paltan"""
"""mbm group,dohs,mirpur""","""mirpur"""
"""g e army north,shahid ramiz uddin cantonment college,mes""","""mes"""
"""farazy dental hospital,block h,banasree""","""banasree"""
"""kazim manjil complex,k 62/7,lichu bagan rd,joar shahara""","""joar shahara"""
"""maqsood rahman,sector 11,uttara""","""uttara"""
"""coxs bazar fuchka mela,block b,banasree""","""banasree"""
"""amader nanabari,sector 11,uttara""","""uttara"""
"""east west university,a/2,jahurul islam avenue,gulshan""","""gulshan"""
"""pizza box,uttara,sector 11,uttara""","""uttara"""
"""cardiff international school , h 11 , rd 28 , dhanmondi""","""dhanmondi"""
"""rafi food corner , jamuna future park , bashundhara r/a""","""bashundhara r/a"""
"""turkish bazaar & restaurant , 48 , road 13c , banani""","""banani"""
"""bashai medical , tajmahal road , mohammadpur""","""mohammadpur"""
"""eastern flower , 46 , siddeshwari road , wireless , paltan""","""paltan"""
"""mtb atm 24x7 , kakrail , ramna""","""ramna"""
"""mugdapara , sabujbag""","""sabujbag"""
"""well food head office , vip road , mohakhali dohs , mohakhali""","""mohakhali"""
"""judge hamid foundation , adabar , mohammadpur""","""mohammadpur"""
"""mistrytech engineering ltd , sector 9 , uttara""","""uttara"""
"""firoz store , postogola , shyampur""","""shyampur"""
"""al-modina store , postogola , shyampur""","""shyampur"""
"""polwell shopping center , dhaka-mymensigh highway , sector 9 , uttara , dhaka , bangladesh , uttara""","""uttara"""
"""suvastu arcade ( ict bhaban 0 , new elephant road , katabon""","""katabon"""
"""ahmed akbar sobhan karjaloy , block e , basundhara""","""basundhara"""
"""dhaka chittagong highway , sontek , jatrabari""","""jatrabari"""
"""kuril public toilet , bishaw road""","""bishaw road"""
"""jahan fashion , sector 3 , uttara""","""uttara"""
"""dream home , house 1036 , road 49 , block l , bashundhara r/a""","""bashundhara r/a"""
"""fatema general store , mirpur 10  2 service road , senpara parbata , borobagh""","""borobagh"""
"""swarna kanon jewellers , green road , panthapath""","""panthapath"""
"""cafe malik , bangladesh shenabahinir sadar dipto""","""bangladesh shenabahinir sadar dipto"""
"""hussain villa , house 4, road 11 , sector 12 , uttara""","""uttara"""
"""food satisfaction , progoti shoroni road , shahjadpur""","""shahjadpur"""
"""house 57 , road 5, sector 12, uttara""","""uttara"""
"""bushra dental clinic , h 2/8 , tajmahal rd , mohammadpur""","""mohammadpur"""
"""125/a,middle peererbug,mirpur,mukti housing,dokkhin pirerbagh""","""dokkhin pirerbagh"""
"""north end coffee roasters apollo hospital , bashundhara r/a""","""bashundhara r/a"""
"""realiance building , h 146 , rd 8 , block d , basundhara r/a""","""basundhara r/a"""
"""road 6,banani dohs,banani""","""banani"""
"""khan & mone furnishers , shahjahanpur , motijheel""","""motijheel"""
"""house 32, road 16 , sector 14, uttara""","""uttara"""
"""mobil house,bir uttam a k khondakar road,mohakhali road,mohakhali,gulshan""","""gulshan"""
"""silver spring , 133 , d block 7 no road , block d , basundhara r/a""","""basundhara r/a"""
"""agargaon pharmacy,mirpur road,sohrawardi medical college & hospital,sher e bangla nagar""","""sher e bangla nagar"""
"""bangladesh eye hospital , sat masjid rd , dhanmondi""","""dhanmondi"""
"""alco pharma ltd , section 7 , mirpur""","""mirpur"""
"""rd 141,gulshan 1""","""gulshan 1"""
"""demra staff quarter bus stop""","""demra staff quarter bus stop"""
"""barishal store , sadarghat launch terminal""","""sadarghat launch terminal"""
"""madina house,west dhanmondi""","""west dhanmondi"""
"""h 159/a , al helal hospital rd , senpara parbata , mirpur 10""","""mirpur 10"""
"""a plus sourcing , sector 15 , uttara""","""uttara"""
"""mostaq place,h 29/1/a,lake circus,kalabagan""","""kalabagan"""
"""shaktar mazil,h 380/18/e,kunjobon rd,east rampura""","""east rampura"""
"""concord kanihati, rd 7 , baridhara""","""baridhara"""
"""37/r , road 3 , block d , basundhara r/a""","""basundhara r/a"""
"""one point cng service center , kachukhet , dhaka cantonment""","""dhaka cantonment"""
"""rangdhanu officers mess dhaka,nirjhar residential area,bhashantek""","""bhashantek"""
"""house 77 , road 17 , sector 14, uttara""","""uttara"""
"""jannat garden,east nurerchala,shahjadpur""","""shahjadpur"""
"""shahjalal multi storied car parking , nre airport rd""","""nre airport rd"""
"""ahsan fast food & mini chinese , taltola rd , taltola , khilgaon""","""khilgaon"""
"""meyor mohammad sayed khokon center , distilary road , gopibag""","""gopibag"""
"""sony cinema trafic police box , section 1 , mirpur""","""mirpur"""
"""airport rent a car service , hazrat shahjalal international airport , kurmitola""","""kurmitola"""
"""bhandary general store , shantinagar rd , shantinagar""","""shantinagar"""
"""asgar ali hospital, opd pharmacy , dhupkhola , gendaria""","""gendaria"""
"""waffle r , niketon , gulshan 1""","""gulshan 1"""
"""dhaka airport railway station""","""dhaka airport railway station"""
"""attack's kitchen , sector 6 , uttara""","""uttara"""
"""spice catering limited , road 33 , gulshan 1 , gulshan""","""gulshan"""
"""one bank limited atm , kathalbagan green road""","""kathalbagan green road"""
"""h 12/a , rd 9 , janata housing , mohammadpur""","""mohammadpur"""
"""yasin fashion ladies tailors , katashur, mohammadpur""","""mohammadpur"""
"""seikh rasel gastro liver institute and hospital , mohakhali""","""mohakhali"""
"""lima furniture , sector 7 , uttara""","""uttara"""
"""ibn sina hospital 7 cardiac center , h 68 , rd 15/a , dhanmondi""","""dhanmondi"""
"""jaralawn , residential area , dhanmondi""","""dhanmondi"""
"""windsor 79, road 3, block c, bashundhara r/a""","""bashundhara r/a"""
"""h 12 , rd 140 , gulshan 1""","""gulshan 1"""
"""sunflower , sector 6 , uttara""","""uttara"""
"""united hospital , rd 71 , gulshan 2""","""gulshan 2"""
"""d-mart arambagh motijheel""","""d-mart arambagh motijheel"""
"""fatema , h 68 , rd 9/a, dhanmondi""","""dhanmondi"""
"""m/s r .s automobiles , naya paltan""","""naya paltan"""
"""h 53/a, rd 9/a, dhanmondi""","""dhanmondi"""
"""20/3 , road no.1 , mohammadi housing limited , mohammadpur""","""mohammadpur"""
"""tritech building services ltd , block i bashundhara r/a""","""block i bashundhara r/a"""
"""mohammodia super market , mirpur road , dhanmondi""","""dhanmondi"""
"""mesars math baria steel corporation mohammadi""","""mesars math baria steel corporation mohammadi"""
"""road 13/c , house 18 , banani""","""banani"""
"""firoza villa ( rojan - rihan ) block j , bashundhara r/a""","""bashundhara r/a"""
"""premier bank ltd , rd 2/b , natun bazar""","""natun bazar"""
"""h 109, sylheti para rd , west dhanmondi""","""west dhanmondi"""
"""building no b-7 , bcic staff colony , mirpur zoo road""","""mirpur zoo road"""
"""najma villa h , 48/g/3, indira rd , farmgate""","""farmgate"""
"""h 3/f , girls school rd , kalabagan""","""kalabagan"""
"""presidency university , 11 a road 92 gulsahn 2 gulshan""","""11 a road 92 gulsahn 2 gulshan"""
"""shyamoli nr travels technical mor counter , goidartek , darussalam""","""darussalam"""
"""hal's madhpbilata malibagh rail gate , malibagh""","""malibagh"""
"""assistant controller of store , bangladesh railway , kamalapur railway station""","""kamalapur railway station"""
"""bridge khushbu , block c, bashundhara r/a""","""bashundhara r/a"""
"""alif,15 , block e , zakir hossain road , mohammadpur""","""mohammadpur"""
"""syef's place , h 3 , babar rd""","""babar rd"""
"""shahida's beauty wallet , siddheswari road""","""siddheswari road"""
"""20/3 , road no. 1 , mohammadi housing limited , mohammadpur""","""mohammadpur"""
"""mohammadia super market , mirpur road , dhanmondi""","""dhanmondi"""
"""yasin mansion 229/c , i block road 8 , bashundhara r/a""","""bashundhara r/a"""
"""road 13/c , house 18 , banani""","""banani"""
"""queen's confectionary (bd) ltd , diyabari , uttara""","""uttara"""
"""premier bank ltd , rd 2/b , natun bazar""","""natun bazar"""
"""shyamoli nr travels technical mor counter m goidartek , darussalam , mirpur""","""mirpur"""
"""house 66 , road 13 , sector 11 , uttara""","""uttara"""
"""assistant controller of store , bangladesh railway , kamalapur railway station""","""kamalapur railway station"""
"""vervain banani , block g""","""block g"""
"""bti valencia , fulbaria , uttara""","""uttara"""
"""khamarbari rd , monipuri para , tejgaon""","""tejgaon"""
"""embassy of greece , rd 129, gulshan 1""","""gulshan 1"""
"""paradise house , 396, sarak 7 , bashundhara r/a""","""bashundhara r/a"""
"""ahamad rucha vila 1,1 road 19 , nikunja 2""","""nikunja 2"""
"""sattar villa sector 15 uttara""","""sattar villa sector 15 uttara"""
"""circuit house rd""","""circuit house rd"""
"""bangladesh driving training institute , mirpur muktobangla shopping complex , mirpur 1""","""mirpur 1"""
"""butter grace , paradise bhaban lalbagh""","""paradise bhaban lalbagh"""
"""presidency university , 11 a, road 92 , gulshan 2 gulshan""","""gulshan 2 gulshan"""
"""pc culture housing masjid market , shekhertek main rd , mohammadpur""","""mohammadpur"""
"""akash enterprise furniture & door , block d , banasree""","""banasree"""
"""city heart shopping complex , h 67, naya paltan rd""","""naya paltan rd"""
