pickup point,last part
"""h 42, rd 12, pc culture housing , adabor""","""adabor"""
"""holy family red crescent medical college hospital,h 1,eskaton garden rd,old eskaton""","""old eskaton"""
"""dewan co,109,dit road,malibagh rail gate,malibagh""","""malibagh"""
"""h 8/a, rd 12, mohammadi housing society , mohammadpur""","""mohammadpur"""
"""block i,basundhara r/a""","""basundhara r/a"""
"""sheltech shafique's tower  28, road 15a, dhanmondi r/a""","""dhanmondi r/a"""
"""shikder bari,eastern housing,golden street,shyamoli,mohammadpur""","""mohammadpur"""
"""fvl ramisa, house 6/a, road 7, mohammadpur housing limited , mohammadpur""","""mohammadpur"""
"""sofia garden 666 & 667,block f road 21,basundhara r/a""","""basundhara r/a"""
"""sara pizza (banasree-e ), block e""","""block e"""
"""h 381/2 , shilpi hotel goli, shahidbag , malibag""","""malibag"""
"""japan garden city ,building 19, flat 701, mohammadpur""","""mohammadpur"""
"""namira kitchen , h 1102, mirpur rd 14, kachukhet""","""kachukhet"""
"""bonayon. com landscaping & indoor- outdoor plants, mirpur cantonment""","""mirpur cantonment"""
"""apex , road 27 ( new 16), dhanmondi r/a""","""dhanmondi r/a"""
"""bismillah , 06 , road 1, block d, bashundhara r/a""","""bashundhara r/a"""
"""sub lover's , oink city, gulshan-2""","""gulshan-2"""
"""bangladesh specialized hospital , mirpur rd , shyamoli""","""shyamoli"""
"""h 22, rd 7, kaderabad housing , mohammadpur""","""mohammadpur"""
"""cheesy slice , mirpur  cantonment""","""mirpur  cantonment"""
"""19, road 120 , banani, gulshan""","""gulshan"""
"""mithai malibag community center , chowdhuripara , malibagh""","""malibagh"""
"""p0lic convention hall, old elephant road, wireless, paltan""","""paltan"""
"""road 96, gulshan 2, gulshan""","""gulshan"""
"""rijiya bhavan , h 2/ga, habibullah rd, shahbag""","""shahbag"""
"""reen homes , h 10/7 , iqbal rd , mohammadpur""","""mohammadpur"""
"""anoshua ,h 59, rd 25, banani""","""banani"""
"""pacific associates ltd,road  114, gulshan ave , gulshan 2""","""gulshan 2"""
"""cp five star , h 99/2, azimpur rd , azimpur""","""azimpur"""
"""160, hatirpool , dhanmondi r/a , paltan""","""paltan"""
"""82/12, south barontek , dhaka 1206""","""dhaka 1206"""
"""young forever , road 06 , banani dohs , banani""","""banani"""
"""dhaka commerce college , commerce college road, section 2""","""section 2"""
"""asia ling apparels (bd) ltd , sector 7, uttara""","""uttara"""
"""huigh park residence , h 99 , viqarunnesa rd , shiddeswari""","""shiddeswari"""
"""sunbeam cafe""","""sunbeam cafe"""
"""38a , road 103, gulshan 2, gulshan""","""gulshan"""
"""abdul ghani lodge , 23/p , road no. 2 , block  d , basundhara r/a""","""basundhara r/a"""
"""azimpur chapra masjid , azimpur  chapra masjid rd , azimpur""","""azimpur"""
"""cpm ( center for physiotherapy and mobility ) , malibagh rail gate , malibagh""","""malibagh"""
"""house 66, road 2, block a, nikten, gulshan""","""gulshan"""
"""road 131 , dakkhin badda , gulshan""","""gulshan"""
"""shikder bari , eastern housing , golden street, shymoli, mohammadpur""","""mohammadpur"""
"""block i , bashundhara r/a""","""bashundhara r/a"""
"""dewan co , 109, dit road, malibagh rail gate , malibagh""","""malibagh"""
"""sabaah pharma , sector 3, uttara""","""uttara"""
"""nilambar corporation,block f,banani""","""banani"""
"""rd 7 , block e , mirpur 1""","""mirpur 1"""
"""rd 26, block l , bashundhara r/a""","""bashundhara r/a"""
"""1,paribagh garden tower,paribagh""","""paribagh"""
"""yagishita palace , 2 , road 7, section 2""","""section 2"""
"""uttor badda abdullabag""","""uttor badda abdullabag"""
"""rd 15, block j , bashundhara r/a""","""bashundhara r/a"""
"""south badda road,dakkhin badda,gulshan""","""gulshan"""
"""clifford nafi,h 17,rd 5,kaderbad housing,mohammadpur""","""mohammadpur"""
"""mirpur mission , 8, shorok 2 , section 2""","""section 2"""
"""28 shahid minar rd,mukti housing,kallyanpur""","""kallyanpur"""
"""rekha shoes , h 97 , 98, 111/1, elephant rd""","""elephant rd"""
"""sheikh russel national gastroliver institute & hospital,tb gate road,mohakhali""","""mohakhali"""
