"location","address","area","city","longitude","latitude"
"""pingus kitchen , sky view garden , shantinagar .""","Sky View Garden, 77/1, 79, 79/1, Shantinagar, Dhaka","Shantinagar","Dhaka","90.41465341999998","23.736790370000012"
"""national board of revenue , shyamoli rd , agargaon""","National Board Of Revenue, Segunbagicha, Dhaka","Segunbagicha","Dhaka","90.4088061","23.735760500000005"
"""barishal general store , girl's school rd , west archipur, moinartek""","General Store, Moinartek Road, Moinartek Bazar, Moinartek, Uttarkhan, Dhaka","Uttarkhan","Dhaka","90.4453188406224","23.88187311053853"
"""moszid a khana baba faridouri , justice syed mahmub morshed avenue , taltola  , sher  e bangla  nagar""","Justice Syed Mahbub Morshed Avenue, Sher E Bangla Nagar, Dhaka","Sher E Bangla Nagar","Dhaka","90.37391306","23.77510728"
"""dhaka airport railway station , dhaka mymensigh highway""","Dhaka Airport Railway Station, Dhaka Mymensingh Highway, Uttara, Dhaka","Uttara","Dhaka","90.40832","23.852126"
"""combined military hospital ( cmh) , shahid sarani , dhaka canmtonment""","Combined Military Hospital (CMH) Dhaka, Shahid Sarani, Dhaka Cantonment, Dhaka","Dhaka Cantonment","Dhaka","90.39835095405579","23.814362271157822"
"""lets eat , basundhara r/ a""","House  554,555, Road  23, Block L, Bashundhara R/A, Dhaka","Bashundhara R/A","Dhaka","90.44770081292165","23.82153768610095"
"""492,shapla sharani,mukti housing,pashchim kafrul""","House  492, South Kafrul, Kafrul, Dhaka","Kafrul","Dhaka","90.3832156","23.78881159"
"""brb hospital""","BRB Hospital Limited, House  77/A, Bir Uttam Kazi Nuruzzaman Road, Panthapath, Dhaka","Panthapath","Dhaka","90.38538076","23.75257733"
"""b 4,ramna estate complex,124,boro mogbazar,dhaka 1217""","Ramna Estate Complex, House  124, Ramna Century Avenue, Boro Moghbazar, Moghbazar, Dhaka","Moghbazar","Dhaka","90.4088695567339","23.746018737781238"
"""ashraf 4a house 19,rd 7,sector 10 uttara""","House  7, Road  19, Sector 10, Uttara, Dhaka","Uttara","Dhaka","90.38719786944777","23.89194310591901"
"""esha villa , ta 118/2 , cumilla para , middle badda , dhaka .""","Esha Villa, House  TA/118/2, Middle Badda, Badda, Dhaka","Badda","Dhaka","90.42390295918977","23.781357304059775"
"""mitali confectionary , hindu temple rd , shakhari bazar""","Hindu Tample road (Shakhari Bazar), Kotwali, Dhaka","Kotwali","Dhaka","90.40959936","23.70989415"
"""tsc circle""","TSC Lane, Savar, Dhaka","Savar","Dhaka","90.27068673","23.87896129"
"""siyam tyre battery , tongi kaliganj highway , west archipur , mpinartek""","Bismillah Battery And Tyre, House  103, Dhaka Mawa Highway, Dholairpar, Dhaka","Dholairpar","Dhaka","90.43520316481593","23.702181924351937"
"""uttara medicine""","Uttara Medicine Point, Hazi Chan Super Market, Jasimuddin Avenue, Badshartek, Uttara, Dhaka","Uttara","Dhaka","90.39308208678331","23.861369104669063"
"""upazila health complex,keraniganj kholamora konakhola rd,bharalia""","Kholamora - Konakhola Road, Sakta, Dhaka","Sakta","Dhaka","90.34605888","23.70593591"
"""duniya , 10 , mitali housing spciety , south kafrul , paschim kafrul""","Duniya, House  458/1/B, Mitali Housing Road, East Kafrul, Kafrul, Dhaka","Kafrul","Dhaka","90.38471115400462","23.78814719401366"
"""62 park road,rebecca apartmentss,apt 7""","Ventura Rebecca, House  64, Park Road, Block K, Baridhara, Dhaka","Baridhara","Dhaka","90.42118716441723","23.80560213501866"
"""house 292 road 4,dohs basundhara""","Manor, House  292, Road  4, Mirpur DOHS, Mirpur, Dhaka","Mirpur","Dhaka","90.36690205335617","23.834845324885254"
"""house 90b,hatembag road,east rayer bazar""","House  90/C, Hatembagh Road, East Rayer Bazar, Rayer Bazar, Dhaka","Rayer Bazar","Dhaka","90.3675388172632","23.74327609295656"
"""nishdish nasta ghor,h 8/c,girda urdu rd,bakshi bazar""","House  8, Girda Urdu Road, Bakshi Bazar, Dhaka","Bakshi Bazar","Dhaka","90.39373619","23.72131486"
"""phoenix building , h 407, station rd""","Phoenix Head Office, Phoenix Tower, House  407, Shahid Tajuddin Ahmed Sarani, Tejgaon Industrial Area, Tejgaon, Dhaka","Tejgaon","Dhaka","90.39671072336841","23.760020758337898"
"""tapout fitness""","","","","",""
"""mohammad abdul kashem , 187 , i block road 9 , bashunmdhara r/a""","","","","",""
"""embasssy of the united states of america,madani ave,bvaridhara""","","","","",""
"""h 3,rd 2merul badda""","","","","",""
"""alfresco tejgaon""","","","","",""
"""kawla bus stop kawla""","","","","",""
"""house 7 , road 29 , sector 7 , uttara model town""","","","","",""
"""mugda para police station""","","","","",""
"""redical hospital,shah makdum ave,sector 12""","","","","",""
"""bakur math , north jatrabari""","","","","",""
"""bank alfalah atm , gulshan 2 gulshan""","","","","",""
"""dhanmondi hoqurs market""","","","","",""
"""smell 1 , road 7 , block e, shajahanpur""","","","","",""
"""new dhansiri restaurant - gulshan 2, road 46 , gulshan 2 , ghulshan""","","","","",""
"""bangladesh  - china friendship exhibition , sector 4 , purbachal""","","","","",""
"""berlin foods , dncc market , gulshan -1""","","","","",""
"""mezbandari,joynab ali sarak,basundhara road""","","","","",""
"""faridabad high school,faridabad ln,gandaria""","","","","",""
"""h 13/2, kalachandpur main rd  kalachandpur""","","","","",""
"""shwapno , lake city rd""","","","","",""
"""brac pollu 2,azampur uttara dhaka.dewanpara""","","","","",""
"""nabilas premimum kitchen , dhonia , shoniakhra""","","","","",""
"""sorwardi hospital""","","","","",""
"""sukonna tower""","","","","",""
"""bashtola foot over bridge""","","","","",""
"""foodspire""","","","","",""
"""pizza xpeart dhanmondi , sukrabad , dhaka 1207""","","","","",""
"""eastern plaza shopping complex , shantinagar rd""","","","","",""
"""dhaka community medical college and hospital , boro mogbazar""","","","","",""
"""prottasha kindar garten school , north vasantek rd , vasantek""","","","","",""
"""majumder's kemal atatruk avenue banani""","","","","",""
"""dncc police box, madani avenue baridhara , notun bazar""","","","","",""
"""sheikh hayder box lane,noorbagh,babu bazar""","","","","",""
"""satarkul merul rahmate noor jame mosque , madani avenue , kathalbaria badda""","","","","",""
"""united international university campus""","","","","",""
"""sonali bank ltd , custom clearance br . new airport rd""","","","","",""
"""plot 1, avenue 1, block b , section 10 , mirpur , dhaka 1216 (helal diagonstic centre building )""","","","","",""
"""bangabandhu international conference center , begum rokeya sarani , she e bangla nagar""","","","","",""
"""house 37,road 1,block f,sector 1,aftabnagar""","","","","",""
"""sheltech,monihar bhaban no 8,h 154/1,gate 2 rd,monipuripara""","","","","",""
"""arambagh ndc footover bridge,south kamalapur""","","","","",""
"""road 6,monsurbad housing,adabar""","","","","",""
"""shantos hq""","","","","",""
"""kaunshilor karjalay , 49 no word , dhaka uttar   s""","","","","",""
"""appetina , shimanto shombar , dhanmondi 2""","","","","",""
"""purbp sadarpur road, ashulia , nobinagar""","","","","",""
"""ahsania mission cancer & general hospital , ahsania mission rd , mirpur 14""","","","","",""
"""twenty 20 snacks""","","","","",""
"""national eye hospital , mirpur  road sher e bangla nagar""","","","","",""
"""suvastu ruchira , house # 41 rd no 9a , dhaka 1205""","","","","",""
"""rajuk uttara model college,sector 6""","","","","",""
"""ahsan villa, h 113,crescent rd,katabagan""","","","","",""
"""rd 5, arambag r/a pallabi""","","","","",""
"""red olive restaurant , mirpur 7""","","","","",""
"""h 286, aftab uddin ahmed rd , block b , bashunmdhara r /a""","","","","",""
"""al helal jame masjid , demra narayanganj rd , shiddhirganj""","","","","",""
"""house 14/15, road 8 , extended pallabi , mirpur 11.5""","","","","",""
"""h 251, h 252, 253, 254, 256 , rd 8, basdhundhara r /a""","","","","",""
"""panna battery , beribadh rd , vagolpur hazaribag""","","","","",""
"""basumati real estate limited , hatirjheel , tejgaon ind .area""","","","","",""
"""tongi fire station , dhaka mymensingh highway , purbo arichpur""","","","","",""
"""nitol niloy tower nikunjo 2""","","","","",""
"""162 post office road modhubajar dhanmondi 19""","","","","",""
"""shiyal bari circle bus stop , rupnagar""","","","","",""
"""nazira bazar boro masjid , nazira bazar rd , bangla duar""","","","","",""
"""100 ft goru chagoler haat,madani avenue,100 ft""","","","","",""
"""house 32 , road 7/c , sector 9 , uttara dhaka""","","","","",""
"""santinibas 78 , santinibas baf officers quarter internal rd , paschim nakhalpara , sher  e bangla nagar""","","","","",""
"""bashabo  , dhaka , middle bashabo""","","","","",""
"""h 485 , rd 2, block d, bashundhara 4/a""","","","","",""
"""abdullagpur bus stop""","","","","",""
"""alir mor rd , purbachal , west badda""","","","","",""
"""khana- pina restaurant , panch char""","","","","",""
"""suvastu kunjan""","","","","",""
"""baitul taqwa jame masjid,east maniknagar""","","","","",""
"""mad chicken""","","","","",""
"""shopno neer 6,mitali housing society,south kafrul""","","","","",""
"""farhana sharmin , block l , bashundharab r/a""","","","","",""
"""farid market kacha bazar,uttara azampur""","","","","",""
"""hungry treat""","","","","",""
"""banani skatepark,block k""","","","","",""
"""tejgaon industrial area police station,shahid tajuddin ahmed ave,tejgao i/a""","","","","",""
"""sanmar tower 2""","","","","",""
