File Name,Price,Current Time,ETA Time
uberx_route_4.png,516.34,10:50,11:25am -2 min away
uberx_route_40.png,328.02,11:15,11:42am - 2 min away
uberx_route_41.png,162.48,11:15,11:25am -2 min away
uberx_route_42.png,Not found,11:16,Not found
uberx_route_43.png,317.08,11:17,11:48am -2 min away
uberx_route_44.png,Not found,11:17,Not found
uberx_route_45.png,243.34,Not found,11:40am - 3 min away
uberx_route_46.png,250.51,11:18,11:39am - 2 min away
uberx_route_47.png,Not found,1:19,Not found
uberx_route_48.png,290.44,11:20,11:43am -2 min away
uberx_route_49.png,434.39,11:29,11:55am -2 min away
uberx_route_5.png,380.41,10:50,11:19am - 3 min away
uberx_route_50.png,Not found,11:21,Not found
uberx_route_51.png,304.19,11:22,11:52am -2 min away
uberx_route_52.png,162.48,11:23,Not found
uberx_route_53.png,242.77,11:23,11:51am -3 min away
uberx_route_54.png,162.48,Not found,11:29am - 2 min away
uberx_route_55.png,162.48,11:25,11:32am -2 min away
uberx_route_56.png,202.93,Not found,11:44am -2 min away
uberx_route_57.png,377.41,Not found,11:56am -1 min away
uberx_route_58.png,Not found,11:28,Not found
uberx_route_59.png,Not found,44:28,Not found
uberx_route_6.png,391.28,10:51,11:15am -3 min away
uberx_route_60.png,288.72,11:29,11:55am -2 min away
uberx_route_61.png,289.09,11:30,11:54am -2 min away
uberx_route_62.png,286.68,11:30,11:53am -2 min away
uberx_route_63.png,283.32,Not found,11:52am -2 min away
uberx_route_64.png,223.43,11:32,11:51am -3 min away
uberx_route_65.png,299.88,14:32,11:57am - 3 min away
uberx_route_66.png,304.05,11:33,11:58am - 3 min away
uberx_route_67.png,310.10,Not found,11:59am - 3 min away
uberx_route_68.png,400.79,11:39,12:20pm -1 min away
uberx_route_69.png,294.22,11:39,12:02pm -2 min away
uberx_route_7.png,335.41,10:51,11:18am - 3 min away
uberx_route_70.png,333.40,11:40,12:08pm - 2 min away
uberx_route_71.png,207.64,11:41,11:55am -2 min away
uberx_route_72.png,295.15,11:41,12:02pm - 2 min away
uberx_route_73.png,262.75,11:42,12:02pm -2 min away
uberx_route_74.png,284.64,Not found,12:00pm - 1 min away
uberx_route_75.png,382.38,Not found,12:19pm -1 min away
uberx_route_76.png,Not found,Not found,Not found
uberx_route_77.png,Not found,11:45,Not found
uberx_route_78.png,Not found,11:46,Not found
uberx_route_79.png,170.30,11:46,11:56am - 2 min away
