Unnamed: 0,Pickup Point,Pickup Area
2012,"SHAHIN HARDY , MIRPUR RD, DHANMONDI",Dhanmondi
2014,"48 JAFRABAD , ZAFRABAD, MOHAMMADPUR",Mohammadpur
2015,"AFGHAN GRILL ( CHEF'S TABLE ) , ROAD 8/A , SATMASJID ROAD , DHANMONDI",Dhanmondi
2016,"RD 1, BLOCK B , PALLABI",Pallabi
2017,"DINGI , RESIDENTIAL AREA , DHANMONDI",Dhanmondi
2018,"70/D , DOLPHIN GOLI, DHANMONDI",Dhanmondi
2022,"H 405 , AFTAB UDDIN AHMED RD  , BLOCK B , BASUNDHARA R/A",Bashundhara
2023,"SKS TOWER , MOHAKHALI",Mohakhali
2025,"TALUKDAR STORE 2 , EASTERN HOUSING MAIN RD , BLOCK  B , PALLABI",Pallabi
2027,"SHARE TA OFFICE , GULSHAN 2, GULSHAN",Gulshan
2030,"PROKOUSHALI SANGSHAD LTD, BLOCK G , BANANI",Banani
2031,"GOLDEN TULIP THE GRANDMARK DHAKA , BLOCK H, BANANI",Banani
2032,"BROAST CAFE , SECTOR - 13 , UTTARA",Uttara
2033,"PADMA GARMENT , HATIRJHEEL LINK RD , NIKETON",Niketon
2036,"BANGLADESH AIRLINES TRAINING CENTER , NEW AIRPORT RD",Biman Bandar
2039,"GEYOHAAT,SECTOR 11,UTTARA",Uttara
2042,"LITTLE EINSTEIN TUTORIAL,ROAD 6,BLOCK D,NIKETON",Niketon
2043,"HOUSE 46 , ROAD 12, SECTOR 10, UTTARA",Uttara
2046,"SELIM ENTERPRISE , H 1/9 , RUPNAGAR RD , CHAYANEER HOUSING SOCIETY , PALLABI",Pallabi
2047,"EZZYR,ROAD 8,BLOCK C,NIKETON",Niketon
2049,"INDULG , GULSHAN 2, GULSHAN",Gulshan
2050,"SHANTA, H19,RD 8,GULSHAN 1",Gulshan
2054,"7/1 , GIRLS SCHOOL  ROAD , DHANMONDI",Dhanmondi
2057,"SORNOLOTA,H 128,RD 4,BLOCK A,BASUNDHARA R/A",Bashundhara
2059,"EMBASSY OF NORTH KOREA , RD 23 , BANANI",Banani
2062,"SAMORITA PVT HOSPITAL , PANTHAPATH",Panthapath
2064,"11/F , ROAD NO . 17 , BASUNDHARA R/A",Bashundhara
2066,"CITY BANK ATM , 60 FEET RD , MONIPUR , MIRPUR 2",Mirpur
2069,"SARDAR STUDIO , H 276 , MUKTIJODDHA ABDUL SALAM RD , FAKIRAPOOL",Fakirapool
2070,"HOUSE 431,ROAD 6,DOHS,MIRPUR",Mirpur
2073,"GREENBEE COMMUNICATION,ROAD 9,BLOCK G,BANANI",Banani
2075,"BANANI PHARMACY, H 100,RD 11,BANANI",Banani
2077,"GP HOUSE , ALHAZ ABDUS SOBHAN RD, BASHUNDHARA , BASHUNDHARA R/A",Bashundhara R/A
2083,"CAPP AND CINNO RESTAURANT , H 34, GAREEB E NEWAZ, AVE , SECTOR 11, , UTTARA",Uttara
2084,"PLOT 216,H 217,RD 3,BLOCK B,BASUNDHARA R/A",Bashundhara
2087,"YELLOW'S KITCHEN , BAREK  MOLLAH MOR , MIRPUR",Mirpur
2089,"NATUNBAG LOHAR GATE,TALTOLA RD,KHILGAON",Khilgaon
2091,"HOTEL HOLIDAY INN,TO SATRASTA,WIRELESS,NIKETON",Niketon
2095,"SIPAHIBAG CLUB MOOR,SIPAHIBAG RD,KHILGAON",Khilgaon
2096,"MEO , HOUSE 84 , BLOCK B , ROAD 7 , BLOCK B , BASHUNDHARA R/A",Bashundhara R/A
2100,"H 480,SHAHID BAKI SARAK,TALTOLA,KHILGAON",Khilgaon
2104,"THE HOLIDAY , RESIDENTIAL AREA , DHANMONDI",Dhanmondi
2106,"PIZZA TOWN CAFE & RESTURANT,SKY VIEW NAZMA TOWER,368/B,KHILGAON",Khilgaon
2108,"INDIAN SPICY & SEA FOOD,BASUNDHARA CITY,PANTHAPATH",Panthapath
2109,"AZ DIGITAL FURNITURE BD , BOROBAG , MIRPUR",Mirpur
2114,"NAWABPUR ROAD,MOTIJHEEL,GULSHAN",Gulshan
2121,"H 168/1/B,JHEELPAR RD,KHILGAON",Khilgaon
2128,"H 437,TALTOLA RD,TALTOLA,KHILGAON",Khilgaon
2129,"REALIANCE BUILDING,H 146,RD 8,BLOCK D,BASUNDHARA R/A",Bashundhara
2131,"HOUSE 4-6,ROAD 7B,SECTOR 9,UTTARA",Uttara
2132,"BHAGYAKUL KACCHI GHOR,GULSSHAN 2,GULSHAN",Gulshan
2135,"BALAKA,BIMAN BANGLADESH AIRLINES HQ,VVIP TERMINAL ENTRANCE,KURMITOLA,SECTOR 2",Purbachal
2136,"SHORNALI, ROAD 2/A, HOUSE 08, BLOCK F , BANANI",Banani
2138,"STYLE AND SMILE GENTS GROOMING SALOON, 113, 113/A, LAKE CIRCUS ROAD , DHANMONDI",Dhanmondi
2139,"FANTASIUM, GULSHAN AVENUE , GULSHAN 2, GULSHAN",Gulshan
2140,"IQBAL CENTER , KAMAL ATATRUK AVENUE , BANANI",Banani
2142,"NILL ACHOL  , 102 , I  BLOCCK ROAD 5 , BASUNDHARA R/A",Bashundhara
2146,"APLECTRUM SOLUTIONS LTD  , ROAD 18 , SECTOR 7 , UTTARA",Uttara
2148,"BANGLAR MISHTISWEETS OF BENGAL , BANANI",Banani
2149,"H 12/D , RD 17 , BLOCK G , BASUNDHARA R/A",Bashundhara
2150,"SQUARE HOSPITAL LTD , PANTHAPATH",Panthapath
2153,"TRISHA'S EXTENSION & BEAUTY ZONE , HOUSE 140 , ROAD 3 , BLOCK A , NIKETON",Niketon
2154,"AMARI DHAKA ,  GULSHAN 2, GULSHAN",Gulshan
2155,"GALESIA HOTEL & RESORT LTD , BLOCK  B , BANANI",Banani
2161,"BLOCK A , ROAD 18 , HOUSE 9 , BANANI",Banani
2163,"NAZLE GARDEN , 420 , ROAD NO. 17 , BASUNDHARA R/A",Bashundhara
2164,"469 , ROAD NO. 7 , BASUNDHARA R/A",Bashundhara
2166,"YELLOW'S KITCHEN , BAREK MPLLAH MPR , MIRPUR",Mirpur
2167,"HOUSE 53/A  , ROAD 26 , GULSHAN 1 , GULSHAN",Gulshan
2169,"TROPICAL ALAUDDIN TOWER SHOPPING COMPLEX , ROAD 7 , SECTOR 3 , UTTARA",Uttara
2172,"DULAL TEA STORE , SECTION 13 , MIRPUR",Mirpur
2174,"DHANSHIRI  , H 3 , RD 20 , NIKUNJA 2",Nikunja
2177,"CAFE TIFFIN BOX , CHAYA BITHI'R GOLI , TIKATULI",Tikatuli
2179,"SANJIDA MANSION , H 44/29 , PANTHAPATH",Panthapath
2180,"HOUSE 2/4 , ROAD 1 , BLOCK C , NIKETAN , GULSHAN 1",Gulshan
2183,"SUZEN'S CLOSET , GULSHAN 1 , GULSHAN",Gulshan
