Location Name,Address,Classified Area
"RD 1, BLOCK D",Bashundhara R/A,Bashundhara
KEEPEX,"Sector 9, Uttara",Uttara
LIMA DRY CLEANERS,Dhanmondi,Dhanmondi
AD DIN MEDICAL COLLEGE HOSPITAL,"Wireless, Paltan",Paltan
"IBA, UNIVERSITY OF DHAKA","Provost Banglo, Paltan",Paltan
"H 0301/81, KAMAL KHAN RD",Ibrahimpur,Ibrahimpur
KHAN MONJIL,"Krishibid Road, Senpara Parbata, Purba Kazipara",Kazipara
MORNING SUN SOUND & LIGHTING,"Free School St, Kathalbagan",Kathalbagan
BANASHREE PHYSICOTHERAPY CENTER,"Block D, Banashree",Banashree
ARADDHO,Dhanmondi,Dhanmondi
"HOUSE 80, ROAD 23","Dakkhin Badda, Gulshan",Badda
"10, CENTRAL ROAD",Dhanmondi,Dhanmondi
"500/A, MIRPUR ROAD",Dhanmondi,Dhanmondi
KURMITOLA GENERAL HOSPITAL,"Tongi Diversion Road, Dhaka",Kurmitola
BUT VILLA,Kalabagan,Kalabagan
UNITED HOSPITAL LIMITED,"Gulshan 2, Gulshan",Gulshan
shedltech bithika,"House 114/1, Mazar Road, Lalokuthi, Mirpur 1",Mirpur
MIDAS CENTER,"H 5, RD 27, Dhanmondi",Dhanmondi
B.I.H.S GENERAL HOSPITAL,"Dar Us Salam Road, Abdul Rafiq Housing, Shah Ali Bagh",Shah Ali Bagh
HOUSE 524,"Road 9, West Nakhalpara, Tejgaon",Tejgaon
EASTERN BANK LIMITED (EBL),"Road 11, Block D, Banani",Banani
GULSHAN NORTH CLUB,"Road 71, Gulshan 2, Gulshan",Gulshan
"19/D, UTTAR TOLARBAGH","Uttara Bhaban 5/A, Mirpur 1",Mirpur
ananda food house,Banashree,Banashree
MASUM DECORATOR & CATERING,"Block D, Banashree",Banashree
ALI AHMED SCHOOL AND COLLEGE,"Khilgaon, Goran, Dhaka",Khilgaon
365 PHOTOGRAPHY LIBRARY,Dhanmondi,Dhanmondi
TANZIMUL UMMAH ALIM MADRASAH,"Sector 10, Uttara",Uttara
HOUSE 295/296,"Kosai Bari Rail Crossing, Sector 2, Uttara",Uttara
HOTEL AL FAYSAL,"Toyenbee Circular RD, Arambagh",Arambagh
DHAKA MEDICAL COLLEGE HOSPITAL,"Sir Sayed RD, University of Dhaka, Shahbag",Shahbag
INFINITY MEGAMALL,"Road 103, Gulshan 2, Gulshan",Gulshan
SHAH ALI BAGH,Shah Ali Bagh,Shah Ali Bagh
ALI ASGAR HOSPITAL,"Distilary Road, Gopibag, Dayaganj",Gopibag
KOSHAI BARI RAIL CROSSING,"Kosai Bari Level Crossing, Sector 2, Uttara",Uttara
OFFICE OF THE EXECUTIVE ENGINEER,"Mods Zone O4, Dhaka WASA, Darussalam, Mirpur",Mirpur
JAPAN GARDEN CITY BIDG NO. 10,"Road 1, Mohammadpur",Mohammadpur
POLWEL CARNATION SHOPPING CENTRE,"Sector 8, Uttara",Uttara
RAKIB'S TEA STOLL,"Sector 6, Uttara",Uttara
TSC MOR,Siddikbazar,Siddikbazar
TRANSCOM DIGITAL,"Road 7, Sector 4, Uttara",Uttara
ALI ASGAR HOSPITAL,"Distilary Road, Gopibag, Dayaganj",Gopibag
ARADDHO,Dhanmondi,Dhanmondi
"H K 75/8, RD 13",Kalachandpur,Kalachandpur
RAUF MANZIL,"Free School St, Hatirpool",Hatirpool
"H 985, RS 11","Block G, Bashundhara R/A",Bashundhara
expresso house,"Kemal Ataturk Avenue, Banani",Banani
"113, road 4","Block C, Bashundhara",Bashundhara
BIRDEM HOSPITAL,Shahbag Circle,Shahbag
GREEN PEACE,"H 168/1, Green RD",Green Road
UTTARA CAR,"Dhaka Mymensingh Highway, Sector 9, Uttara",Uttara
ROAD NO . 3,Section 6,Uttara
TANI AUTO PARTS,"Road 35, Sector 7, Uttara",Uttara
"24/2, GREEN ROAD","Green Road, Dhanmondi",Dhanmondi
DR BATRA'S HOMEOPATHY CLINIC,"Progress Tower, Road 23, Gulshan 1",Gulshan
"RD 6A, DOLIPARA","Dolipara, Uttara",Uttara
HOSPITAL CAFE,"Bir Uttam Ziaur Rahman Road, Mohakhali, Gulshan",Gulshan
"HOUSE 16, ROAD 27","Block J, Banani",Banani
MOEN'S SHARMEENS,"Sector 4, Uttara",Uttara
IMBD AGENCY,Banani DOHS,Banani DOHS
ITEM CRAFTS,"Road 4, Sector 11, Uttara",Uttara
CRIMSON CUP COFFEE SHOP,"Road 27 (New 16), Dhanmondi R/A",Dhanmondi
SURKUNJO SDANGIT ACADEMY,"H 58, Honda ST, Tejkunipara",Tejkunipara
NORTH KAFRUL ROAD,"577/A, North Kafrul Road, Purba Kazipara",Purba Kazipara
HOUSE 105,"Road 13, Block E, Banani",Banani
LALBAG,Lalbagh,Lalbagh
PEDROLLO,"KA 74/2, Pragoti Sarani, Nadda",Nadda
SHUMI'S HOT CAKE,"Road 2, Sector 3, Uttara",Uttara
RD 2,"Sector 6, Uttara",Uttara
NAKHALPARA NOTUN RD,Mohakhali,Mohakhali
HAZI BUILDING,"Block E, Banani",Banani
SHUMAIYA'S PLACE,"37, Road 35, Gulshan 2",Gulshan
PURBACHAL EXPRESS HIGHWAY,"Purbachal Express Highway, Kuril",Kuril
"H 111/2, RD 35","Road 35, Gulshan 2",Gulshan
KHANDKER TOWER,"Gulshan Ave, Gulshan 1",Gulshan
GARDENIA,"Eskaton Garden RD, Old Eskaton",Eskaton
"RD 1, BLOCK L","Arifabad R/A, Rupnagar, Pallabi",Pallabi
SCARLET KNITWEARS LTD,"Plot B Road, BSCIC, Fatullah, Narayanganj",Narayanganj
ONE BANK PLC,"Road 1, Kawranbazar, Tejgaon",Tejgaon
MATBOR TOWER,"Zigatola Main Road, Dhaka",Zigatola
PEACE PARK,"Road 6, Riajbagh, Khilgaon",Khilgaon
HUNGRY EYES FOOD CORNER,"Link Road 9, Mirpur DOHS, Mirpur 12",Mirpur
AL MADINA PHARMACY 2,Gulshan 2,Gulshan
"H 2, TOYENBEE CIRCULAR RD","Toyenbee Circular RD, Fakirapool",Fakirapool
MAOLANA BHASANI ROAD,"Wireless, Paltan",Paltan
CARBOLINE,"Block K, Banani",Banani
"LINE 8, BLOCK A",Mirpur 10,Mirpur
"H 1 Z, RD 9","Block G, Bashundhara R/A",Bashundhara
"H 366/7, RD 6","Road 6, Baridhara DOHS",Baridhara DOHS
"HOUSE 1C, ROAD 86","Road 86, Gulshan 2",Gulshan
KURMITOLA GENERAL HOSPITAL,Kurmitola,Kurmitola
NORTH SOUTH UNIVERSITY,Bashundhara R/A,Bashundhara
"RD 7, BLOCK C","Block C, Mirpur 13",Mirpur
THE VAPIANOO CAFE,"Satmasjid RD, Jigatola",Jigatola
ROAD 12A,"Mirpur DOHS, Mirpur 12",Mirpur DOHS
HOTEL ARISTOCRAT IN RESTAURANT,Gulshan 2,Gulshan
KAKOLI BUS STOP,Banani,Banani
"HOUSE 430, ROAD 17","Block A, Bashundhara R/A",Bashundhara
BASIC HOMEOPATHY CLINIC,"Main Road, Section 6",Section 6
HUNGRY STATION,"Road 1, Section 6",Section 6
APARAJITA (A1),"Shyamoli, Mohammadpur",Mohammadpur
ADNAN FRUIT STORE,"Toyenbee Circular RD, Fakirapool",Fakirapool
ARTISTIC DENTAL AID,"Road 2, Block B, Niketon",Niketon
MOYEENS,"Road 102, Gulshan 2",Gulshan
"NORTH KAFRUL, JHILPAR ROAD","Jhllpar Road, Ashar Alo Lake View Tower",Kafrul
BISMILLAH GENERAL STORE,"Road 10, Sector 09, Uttara",Uttara
CHANNEL 24,"Shahid Tazuddin Ahmed Ave, Tejgaon Industrial Area",Tejgaon
UNITED COMMERTIAL BANK LTD,"Science Laboratory RD, Elephant RD",Elephant Road
TRISHA DIGITAL STUDIO,"KA 1/B, Kalachandpur Main RD, Kalachandpur",Kalachandpur
POLOK FOOD & GENERAL STORE,"Sector 6, Uttara",Uttara
CREATIVE IT INSTITUTE,"Uttara Branch, Sector 7",Uttara
MOMOTA ENTERPRISE,"Block F, Banani",Banani
CVSIT.COM.BD,"Block F, Banani",Banani
H 21/44/A,"Jigatola Main RD, Jigatola",Jigatola
ALNA,"Road 4, Sector 7, Uttara",Uttara
INFORMATIX,"Bir Uttam AK Khandakar RD, Mohakhali",Mohakhali
UNIMERT DELIVERY HUB,"Gulshan 2, Gulshan",Gulshan
FIROZA MANSON,"H 60/2, Old Elephant RD, Noyatola",Noyatola
IBN SINA MEDICAL COLLEGE,"Kalyanpur Villa RD, South Kallyanpur, Kallyanpur",Kallyanpur
SUMAIYA ENTERPRISE,"Chowdhury Para, Malibagh",Malibagh
INDOKEM BANGLADESH P L,"Sector 7, Uttara",Uttara
secrest recipe,"SKS Tower, Mohakhali",Mohakhali
NADP OFFICE,"Kataban RD, Nilkhet",Nilkhet
FAKHRUDDIN RESTAURANT,"Shahid Tazuddin Ahmed Ave, Moghbazar",Moghbazar
NEW AIRPORT RD,Dhaka Cantonment,Cantonment
"363/9/A, NORTH PEREBUG","Mukti Housing, Moddho Paikpara",Mirpur
ARRIVAL FASHION LTD,"Main Road, Section 6",Mirpur
SAUDIA JAME MASJID,"Khapara RD, Rustampur",Rustampur
RICEMAN,"Doctor Goli, Malibagh",Malibagh
"H 14, RD 2, BLOCK A","Block A, Banashree",Banashree
PROYASH HALL,"Road 10, Dhaka Cantonment",Cantonment
H KA 28/3/3/A,"Kuwaiti Masjid RD, Vatara",Vatara
PERFECTO BEAUTY SALON,"Shyamoli, Mohammadpur",Mohammadpur
NEW AIRPORT ROAD,"Kurmitola, Sector 2",Kurmitola
"H 140, SHAHID JANANI",Elephant RD,Elephant Road
MOMIN KHABAR HOTEL,"Zoo RD, Mirpur 2",Mirpur
QUAMROOM NOOR,"Iqbal RD, Mohammadpur",Mohammadpur
POLICE PARK PROJECT,"Titas RD, Banashree",Banashree
JANNAT BEDDING,"Block C, Banashree",Banashree
HOUSE 26,"Block B, Banani",Banani
KOTBARI BAZAR,Dakshin Azampur,Azampur
SIKDER MEDICAL HALL,"Kuwaiti Masjid RD, Vatara",Vatara
BASHUNDHARA GATE SOUTH,"Madani Ave, Dhaka",Bashundhara
BABA RAFI,"Bashundhara City, Panthapath",Panthapath
JUGANTOR ELECTRONICS,"Dhaka Chittagong Highway, Banagram",Banagram
WWW. HUMAYRA .COM.BD.,"Block E, Banashree",Banashree
NAYEEM RAIYAN HASAN,"Ranavola, Uttara",Uttara
STAR PHARMA,"Nurjahan RD, Mohammadpur",Mohammadpur
SHEIKH MEHER ALI RD,1340,Ibrahimpur
UNIVERSITY OF ASIA PACIFIC,"Green RD, Farmgate",Farmgate
ALIF -AYAT AMBULANCE SERVICE,"Monipur, Mirpur 2",Mirpur
HOUSE 10,"Sector 10, Uttara",Uttara
MAYA KANON,"Block F, Bashundhara R/A",Bashundhara
ANTERIOR ARCHITECTS,Dhanmondi,Dhanmondi
H 22,Mirpur 10,Mirpur
OLIVE TOUCH,"Hatirpool, Dhanmondi",Dhanmondi
ASHI DAG CIRCLE,North Ibrahimpur,Ibrahimpur
CHOWDHURY BARI,"Sat Masjid RD, Block F, Mohammadpur",Mohammadpur
BABUIL CYCLE STORE,"Begunbari RD, East Tejkunipara",Tejkunipara
SOUTHEAST UNIVERSITY,"Nabisco Road, Industrial Area, Tejgaon",Tejgaon
JAHAN MONJIL,"Block H, Banashree",Banashree
PREMIER SWEETS,"DIT Road, Rampura",Rampura
DHANMONDI 4/A,"Beside Renesha Hospital, Dhanmondi",Dhanmondi
HOUSE 808,"Road 18, Block K, Bashundhara R/A",Bashundhara
ADPERIENCE LTD,"Mohakhali DOHS, Mohakhali",Mohakhali
TENEMENT 1,"Block E, Bashundhara R/A",Bashundhara
LAKE BREEZE,"Road 104, Gulshan 2, Gulshan",Gulshan
CP FIVE STAR - FASHION PARADISE,"Road 20, Sector 11, Uttara",Uttara
PREMIER BANK PANTHAPATH,"Bir Uttam Kazi Nuruzzaman Road, West Panthapath",Panthapath
SHUMI'S HOT CAKE,"Sayed Nazrul Islam Sharon 8, Purana Paltan",Paltan
ZAHID MANSION,"Road 2, Block C, Bashundhara R/A",Bashundhara
SONARANG KABARSTHAN,Sonarang,Sonarang
CHOTTOGRAM FAST FOOD,"Hazrat Shahjalal International Airport, Kurmitola",Kurmitola
BOTTOLA JAME MASJID,"Hatirjheel Link RD, Tejgaon Industrial Area",Tejgaon
METROPOLITON COOPERATIVE HOUSING,"Madrasa RD LN, Mohammadpur",Mohammadpur
FITMENT CRAFT,Mirpur DOHS,Mirpur DOHS
AMTOLI JAME MASJID,"New Airport Road, Mohakhali",Mohakhali
FISH & CO,"Bir Uttam Mir Shawkat Sarak, Gulshan 1",Gulshan
PIZZA HUT,"Sector 3, Uttara",Uttara
LUCKY STAR,"Block F, Banani",Banani
LUPINE,"Plot 297/D, Road 12, Block C, Bashundhara R/A",Bashundhara
ASMANI SADIQ,"654 & 655, Block F, Road 20, Bashundhara R/A",Bashundhara
BANDHAN TELECOM,"PWD Colony RD, Jigatola",Jigatola
LINE 10,"Block A, Mirpur 10",Mirpur
ROAD 1,"Niketon Housing Society, Gulshan",Gulshan
INTERFLG TRADING AGENCY LIMITED,"Sector 11, Uttara",Uttara
HOUSE 629,"Block H, Bashundhara",Bashundhara
ABADIL ACADEMY,"Road 8, Dakkhin Badda, Gulshan",Badda
GAOCHIA CHISTIA STORE,"Adabor, Mohammadpur",Mohammadpur
FM ZAMAN,"Road 9 A, Nikunja 1",Nikunja
HOUSE 46,"Sector 11, Uttara",Uttara
SOVEREIGN,"Block G, Banani",Banani
GA HOUSE,Bashundhara R/A,Bashundhara
JIGATOLA BUS STAND,"Satmasjid RD, Dhanmondi",Dhanmondi
SM KHALED'S HOME,"Block H, Banani",Banani
HEALTHY FOOD,"Vertex Prominent, Mohakhali",Mohakhali
BANGLADESH EYE HOSPITAL,"Sat Masjid RD, Dhanmondi",Dhanmondi
HOME HEALTH MEDICAL SERVICES,"Section 1, Mirpur",Mirpur
"BLOCK D, AURANGZEB ROAD","Block D, Aurangzeb Road, Mohammadpur",Mohammadpur
PROF. DR. M.R. KHAN,Dhanmondi,Dhanmondi
TITAS PAE INTERNATIONAL,"House 484, Road 32, Mohakhali DOHS, Mohakhali",Mohakhali
HOUSE 4,"Block G, Banani",Banani
KOBIR SUPER STORE,"TB Gate RD, Mohakhali",Mohakhali
BANGLADESH LASER SKIN CENTER,"Green Road, Dhanmondi",Dhanmondi
CITY CONSULTANCY LTD,Pantapath,Panthapath
SQUARE HOSPITAL LTD,"House 28, Block B, Banani",Banani
HOUSE 28,,
BABUIL CYCLE STORE,"Begunbari RD, East Tejkunipara",Tejkunipara
SOUTHEAST UNIVERSITY,"Nabisco Road, Industrial Area, Tejgaon",Tejgaon
JAHAN MONJIL,"Block H, Banashree",Banashree
PREMIER SWEETS,"DIT Road, Rampura",Rampura
DHANMONDI 4/A,"Beside Renesha Hospital, Dhanmondi",Dhanmondi
HOUSE 808,"Road 18, Block K, Bashundhara R/A",Bashundhara
ADPERIENCE LTD,"Mohakhali DOHS, Mohakhali",Mohakhali
TENEMENT 1,"Block E, Bashundhara R/A",Bashundhara
LAKE BREEZE,"Road 104, Gulshan 2, Gulshan",Gulshan
CP FIVE STAR - FASHION PARADISE,"Road 20, Sector 11, Uttara",Uttara
PREMIER BANK PANTHAPATH,"Bir Uttam Kazi Nuruzzaman Road, West Panthapath",Panthapath
SHUMI'S HOT CAKE,"Sayed Nazrul Islam Sharon 8, Purana Paltan",Paltan
ZAHID MANSION,"Road 2, Block C, Bashundhara R/A",Bashundhara
SONARANG KABARSTHAN,Sonarang,Sonarang
CHOTTOGRAM FAST FOOD,"Hazrat Shahjalal International Airport, Kurmitola",Kurmitola
BOTTOLA JAME MASJID,"Hatirjheel Link RD, Tejgaon Industrial Area",Tejgaon
METROPOLITON COOPERATIVE HOUSING,"Madrasa RD LN, Mohammadpur",Mohammadpur
FITMENT CRAFT,Mirpur DOHS,Mirpur DOHS
AMTOLI JAME MASJID,"New Airport Road, Mohakhali",Mohakhali
FISH & CO,"Bir Uttam Mir Shawkat Sarak, Gulshan 1",Gulshan
PIZZA HUT,"Sector 3, Uttara",Uttara
LUCKY STAR,"Block F, Banani",Banani
LUPINE,"Plot 297/D, Road 12, Block C, Bashundhara R/A",Bashundhara
ASMANI SADIQ,"654 & 655, Block F, Road 20, Bashundhara R/A",Bashundhara
BANDHAN TELECOM,"PWD Colony RD, Jigatola",Jigatola
LINE 10,"Block A, Mirpur 10",Mirpur
ROAD 1,"Niketon Housing Society, Gulshan",Gulshan
INTERFLG TRADING AGENCY LIMITED,"Sector 11, Uttara",Uttara
HOUSE 629,"Block H, Bashundhara",Bashundhara
ABADIL ACADEMY,"Road 8, Dakkhin Badda, Gulshan",Badda
GAOCHIA CHISTIA STORE,"Adabor, Mohammadpur",Mohammadpur
FM ZAMAN,"Road 9 A, Nikunja 1",Nikunja
HOUSE 46,"Sector 11, Uttara",Uttara
SOVEREIGN,"Block G, Banani",Banani
GA HOUSE,Bashundhara R/A,Bashundhara
JIGATOLA BUS STAND,"Satmasjid RD, Dhanmondi",Dhanmondi
SM KHALED'S HOME,"Block H, Banani",Banani
HEALTHY FOOD,"Vertex Prominent, Mohakhali",Mohakhali
BANGLADESH EYE HOSPITAL,"Sat Masjid RD, Dhanmondi",Dhanmondi
HOME HEALTH MEDICAL SERVICES,"Section 1, Mirpur",Mirpur
"BLOCK D, AURANGZEB ROAD","Block D, Aurangzeb Road, Mohammadpur",Mohammadpur
PROF. DR. M.R. KHAN,Dhanmondi,Dhanmondi
TITAS PAE INTERNATIONAL,"House 484, Road 32, Mohakhali DOHS, Mohakhali",Mohakhali
HOUSE 4,"Block G, Banani",Banani
KOBIR SUPER STORE,"TB Gate RD, Mohakhali",Mohakhali
BANGLADESH LASER SKIN CENTER,"Green Road, Dhanmondi",Dhanmondi
CITY CONSULTANCY LTD,Pantapath,Panthapath
SQUARE HOSPITAL LTD,"House 28, Block B, Banani",Banani
HOUSE 28,,
ETCT,"Block E, Banasree",Banasree
NEUVE'MI CAFE & RESTRO,"Sector 15, Uttara",Uttara
36/A DHAKA HOUSING,"Uttor Adabor, Mohammadpur",Mohammadpur
DHANMONDI HOQURS MARKET,"House 42, Road 05, Sector 03, Uttara",Uttara
SQUARE HOSPITAL LTD,"Panthapath RD, Kalabagan",Panthapath
UTTARA SELL BAZAR,"Sector 7, Uttara",Uttara
"H 9, RD 8","Banasree, Rampura",Rampura
JAHAR ALI,"Mohakhali Wireless RD, Mohakhali",Mohakhali
SRIJONI,"Station RD, Kamalapur",Kamalapur
SHISHIR BINDU,"Block I, Bashundhara R/A",Bashundhara
WOOD VIEW FURNITURE,"Block F, Banani",Banani
MY HOME - MY DREAM PLANET,"Sector 15, Uttara",Uttara
EVEREST,"Tilapara, Khilgaon",Khilgaon
"12, ROAD 6",Section 12,Mirpur
US BANGLA AIRLINES,"Gulshan North Avenue, Gulshan 2",Gulshan
H 1419/12,"Taltola Market RD, Khilgaon",Khilgaon
KAMAL GENERAL STORE,"Line 7, Section 10",Mirpur
RAJA TEA STORE,"Sector 13, Mirpur",Mirpur
H 242/1,"Tilapara RD, Khilgaon",Khilgaon
smell 1,"Block E, Shahjahanpur",Shahjahanpur
ESKAYEF PHARMACEUTICALS LTD,"Block B, Banani",Banani
UTTARA CLUB,"Road 08, Sector 01, Uttara",Uttara
PRIMS LADIES HOSTEL,"Road 3, Sector 11, Uttara",Uttara
SATMASJID RD,"Jigatola, Satmasjid RD",Jigatola
NEW DHANSIRI RESTAURANT,"Road 46, Gulshan 2",Gulshan
LAB AID HOSPITAL,"Road 4, Dhanmondi",Dhanmondi
BAGAN BILAS FLAT OWNERS ASSOCIATION,"Block A, Bashundhara R/A",Bashundhara
"69/A, OUTER CIRCULAR ROAD","Wireless, Mogbazar",Mogbazar
GOPAL SAHA LN,"Luxmibazar, Sutrapur",Sutrapur
RAYER BAZAR COMMUNITY CENTRE,"Community Center Goli, Rayer Bazar",Rayer Bazar
ELEMENT,"Minto Road, Wireless, Paltan",Paltan
BIKRAMOUR BOSTRALOY,"Bazar RD, 1702",Bazar RD
MUKHOROCHOK RESTAURANT,"House 120/B, Dilkusha RD, Dilkusha",Dilkusha
DELWAR STORE,"Sector 4, Uttara",Uttara
BANGLADESH-CHINA FRIENDSHIP EXHIBITION,"Sector 4, Purbachal",Purbachal
HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,"Terminal 2, Airport Road, Kurmitola, Sector 2",Kurmitola
"6, GREEN ROAD","Green Road, Dhanmondi",Dhanmondi
FARHANA & FERGANA,"Janata Housing RD, Adabor",Adabor
NUSRAT JAHAN KHUSBO TEA STALL,"Kalachandpur Main RD, Kalachandpur",Kalachandpur
BAITUL FALAH JAME MASJID,"S Kamruzzaman Sarani, Fulbaria",Fulbaria
1st CUP COFFEE BUSINESS OUTLET,"Road 2, Sector 3, Uttara",Uttara
BKASH CORPORATE OFFICE,"Bir Uttam Ziaur Rahman RD, Shaheenbag",Shaheenbag
MEATBOX,"Block A, Lalmatia",Lalmatia
MULLUCK HOSSAIN MARKET,"Tongi College Road, Tongi",Tongi
AXIS,"Mirpur Road, Dhanmondi",Dhanmondi
INDEPENDENT UNIVERSITY BANGLADESH,Bashundhara R/A,Bashundhara
HZRAT SHAHJALAL INTERNATIONAL AIRPORT,"Terminal 1, Airport Road, Kurmitola, Sector 2",Kurmitola
BERLIN FOODS,"DNCC Market, Gulshan 1",Gulshan
JAMAN PALACE,"House 8, Lane 9, Block A, Mirpur 10",Mirpur
"H 158/3, CRESCENT RD","Crescent RD, Dhanmondi",Dhanmondi
GULSHAN RAILGATE,"Atish Dipankar RD, Gulbagh, Malibagh",Malibagh
HABIB MARKET,"Sector 5, Uttara",Uttara
HEAD 2 TOE,Mirpur DOHS,Mirpur DOHS
TONGI FIRE STATION,"Dhaka Mymensingh Highway, Purbo Arichpur",Tongi
alamin fruit market,"Sector 12, Purbachal",Purbachal
SWAPNO REKHA,"H 17, RD 9B, Sector 5, Uttara",Uttara
"H 659, RD 20","Block F, Bashundhara R/A",Bashundhara
talukder homeo mall,"H 50, RD 7, Block A, Mirpur 12",Mirpur
NITOL NILOY TOWER,Nikunjo 2,Nikunja
SPRING RAJBARI,"32, Road 2, Sector 12",Uttara
BANK ASIA LTD,"Shimultoly RD, 1702",Uttara
BEST ELECTRONICS,"Begum Rokeya Sarani, Mirpur 11",Mirpur
NORTHERN GENERAL INSURANCE CO.,"Bangabandhu Avenue, Purana Paltan",Paltan
EXPORT ZONE,"Pallabi, Mirpur 12",Mirpur
HIGHLAKANDI HOUSE,"Bizly Moholla, Block F, Mohammadpur",Mohammadpur
DOLLY KUNJO,"D Block 6, Bashundhara R/A",Bashundhara
ROVWE POLLI UNIVERSITY COLLEGE,"Bhagal Mirzapur RD, 1702",Mirzapur
BRAC BANK HEAD OFFICE,"Bir Uttam Mir Shawkat Sarak, East Nakhalpara, Niketon",Niketon
CHICKEN ST,"Mirpur RD, Kalabagan",Kalabagan
"H 44, RD 8","Janata Housing, Mohammadpur",Mohammadpur
DUTCH BANGLA BANK LTD,"Kabi Faruk Sarani, Nikunja 2",Nikunja
"HOUSE 44, ROAD 18","Block J, Banani",Banani
NANDAN DALIM,"Block D, Bashundhara R/A",Bashundhara
POST OFFICE ROAD,"Modhubajar, Dhanmondi 19",Dhanmondi
SECRET RECIPE,"SKS Tower, Mohakhali",Mohakhali
DUTCH BANGLA BANK ATM BOOTH,"Begum Rokeya Sharani, Section 12",Mirpur
REDICAL HOSPITAL,"Shah Makhdum Ave, Sector 12",Uttara
PRINCE BAZAR LTD,"Mohammadpur Ring RD, Shyamoli",Shyamoli
H KA 25,"Shahid Abdul Aziz RD, Block A, Bashundhara R/A",Bashundhara
ARIFABAD HOUSING ROAD,"Extended Pallabi, Mirpur",Mirpur
"PLOT 647, RD 3","Block G, Bashundhara R/A",Bashundhara
SHIYAL BARI CIRCLE BUS STOP,Rupnagar,Rupnagar
DHL EXPRESS SERVICE POINT,"Bishwa Road Circle, Kuril",Kuril
COMBINED KINDERGARTEN SCHOOL,"Nandipara Main RD, Sabujbag, Khilgaon",Khilgaon
FUCHKA SHOT,"Road 3, Bashundhara R/A",Bashundhara
"99, ROAD 3","Block C, Bashundhara R/A",Bashundhara
"43/C, BLOCK E","Asad Avenue, Mohammadpur",Mohammadpur
ROSENDALE,"House 5, RD 3, Dhanmondi",Dhanmondi
DHANMONDI ORO DENTAL SURGERY,"House 35, RD 1, New Market",New Market
BASHIR UDDIN RD JAME MASJID,"Bashir Uddin RD, Kalabagan",Kalabagan
KALIGANJ PAN SOCIETY,"Ahsanullah RD, Sadarghat",Sadarghat
SONCHORON,Green RD,Green Road
HESHEL ADDA,"Sector 11, Uttara",Uttara
BJRI COLONY ROAD,"BJRI Colony RD, Dhanmondi",Dhanmondi
"RD 17, SECTOR 14","Sector 14, Uttara",Uttara
AZIZ COMPLEX,"Sector 11, Uttara",Uttara
AIUB AUDITORIUM,"Sayem Sobhan Avnir RD, Bashundhara R/A",Bashundhara
MIRPUR 10 BUS STAND,"Section 6, Mirpur 10",Mirpur
"H 24, RD 7",Banasree,Banasree
V I P TOWER,"VIP Road, Naya Paltan",Paltan
TUINTAR LTD,"Sector 4, Uttara",Uttara
NSU RD,"Block B, Bashundhara R/A",Bashundhara
"H 285/2, RD 8/A",Dhanmondi,Dhanmondi
HUNGRY TREAT,"Abdullahpur Bus Stop, Uttara",Uttara
XINDIAN RESTAURANT,"Residential Area, Dhanmondi",Dhanmondi
SHARIATPUR RENT A CAR,"Block K, Bashundhara R/A",Bashundhara
BANANI SKATEPARK,"Block K, Banani",Banani
FARID HOSSAIN,"Block B, Mirpur 11",Mirpur
DONERCI FLAMING DOOR,"Road 27, Banani",Banani
JCX CAMELIA,"Block J, Bashundhara R/A",Bashundhara
"HOUSE 33, ROAD 4","Sector 5, Uttara",Uttara
ALOKI,"Tejgaon Link Road, Niketon, Gulshan",Gulshan
BASHUNDHARA K BLOCK FIELD,"Bashundhara K Block, Dhaka",Bashundhara
BRAC OFFICE,"Chad Uddin Housing, Mohammadpur",Mohammadpur
ENCHANTER,"Sector 13, Uttara",Uttara
INTERNATIONAL TERMINAL,Hazrat Shahjalal International Airport,Kurmitola
ENEAYET JAME MASJID,"Residential Area, Dhanmondi",Dhanmondi
BANGLADESH EYE HOSPITAL,"Sat Masjid Road, Dhanmondi",Dhanmondi
"76, GIRLS SCHOOL ROAD","Girls School Road, Dhanmondi",Dhanmondi
AL ARABIAN CAKE & SWEETS,"Bir Uttam A.K Khandaker Sorok, Mohakhali",Mohakhali
GULISTAN,"Bangabandhu Ave, Motijheel",Motijheel
COMMERCIAL MOHAKHALI SCHOOL ROAD,"Mohakhali, Gulshan",Mohakhali
MATERNAL & CHILD HEALTH TRAINING INSTITUTE,"Azimpur Lalbagh Road, Azimpur",Azimpur
GOLDEN SUN,"Road 2, Block L, Banani",Banani
CHIRTA,"Shanta Holdings Ltd, Gulshan 2",Gulshan
SAFIAR VILLA,"Nobodoy Housing, Adabor",Adabor
LAB AID SPECIALIZED HOSPITAL,"House 6, Road 4, Dhanmondi",Dhanmondi
TEJGAON INDUSTRIAL AREA POLICE STATION,"Shahid Tajuddin Ahmed Ave, Tejgaon I/A",Tejgaon
EMBASSY OF ALGERIA IN DHAKA,"Road 12, Block K, Baridhara",Baridhara
DHAKA MEDICAL HOSPITAL,"Zahir Raihan Road, Noorbaugh, Siddikbazar",Siddikbazar
EASTERN HOUSE APARTMENT,"Circuit House Road, Kakrail",Kakrail
SOBAR UPARE,"House 11, Road 6, Dhanmondi",Dhanmondi
SANMAR TOWER 2,"House 1/F, Shafiat Road, Block C, Bashundhara R/A",Bashundhara
