Location Name,Address,Classified Area
OGSB HOSPITAL,"Block C, Mirpur 13",Mirpur
SATTAR VABAN,"H 32/3, Rd 10, Janata Housing, Mohammadpur",Mohammadpur
VAI VAI CYCLE & HARDWARE,"Rd 8, Shekhertek, Mohammadpur",Mohammadpur
AARONG,Lalmatia,Lalmatia
MNA BARRISTERS & ADVOCATES,"Suite 3B, H 7, Rd 33, Gulshan 1",Gulshan
SHAHJADPUR EAST SOUTH PARA RD,North Badda,Badda
"HOUSE 37, ROAD 5","Sector 10, Uttara",Uttara
UNITED SEED DHAKA,"Dhaka Aricha Highway, Aftabnagar",Aftabnagar
GREEN VIEW,"385/4/A/B, Free School Street, Dhanmondi",Dhanmondi
RANGS MALANCHA,"West, Dhanmondi",Dhanmondi
"H 231, SATARKUL RD","Bawaila Para, Badda",Badda
JANATA SOROK,"H 620, Rd 19, Block F, Bashundhara R/A",Bashundhara
I CARE COMPUTER SYSTEM,"House 41/2/E/3, Hari Charan Ray Road, Faridabad, Gendaria",Gendaria
"H 366/6, RD 6","H 366/6, Rd 6, Baridhara DOHS",Baridhara DOHS
NEW JANANI ENGINEERING WORKSHOP,"Nabi Nagar Housing, Mohammadpur",Mohammadpur
G. PRASANTY,"10, Road 3, Mukti Housing, Kallyanpur",Kallyanpur
AIRPORT ROAD,"New Airport Road, Kurmitola, Sector 2",Biman Bandar
SOHRAWARDY AVENUE,"Baridhara, Gulshan",Baridhara
"27/26, BLOCK D","Sher Shah Suri Road, Mohammadpur",Mohammadpur
POPULAR MEDICAL COLLEGE OUTDOOR,"Residential Area, Dhanmondi",Dhanmondi
JAMIYA DERACHATUL MADRASA,"H54, Central Rd, Dhanmondi",Dhanmondi
BANK ALFALAH LIMITED MIRPUR,"House 1, Kalsi Road, Block D, Section 11, Mirpur, Dhaka 1216",Mirpur
MEDICARE DRUG HOUSE,"433/A, South Paikpara, Road 14, Block D, Mukti Housing, Dokkhon Paikpara",Mirpur
UNITED HOSPITAL,"RD 72, Gulshan 2",Gulshan
"H D 6, OUTER CIRCULAR RD","Outer Circular Rd, AGB Colony, Motijheel",Motijheel
BANGLADESH FILM DEVELOPMENT CORPORATION (FDC),"Kawran Bazar FDC Road, Wireless, Niketan",Kawran Bazar
AIRPORT MASJID,New Airport Rd,Biman Bandar
KAWLA BUS STOP,New Airport Rd,Biman Bandar
BANGLADESH AQUA ZONE,"Kataban Road, Nijhum Residential Area, Hazaribagh",Hazaribagh
KANU LAL MISTANNO BHANDAR,"H 105, Mugdapara, Sabujbagh",Sabujbagh
NASRIN VILLA,"H 6, Masjider Goli, Adabor",Adabor
NILIMA LADIES TAILORS,"H 34, RD 4, Dhanmondi",Dhanmondi
HOMEOPATHIC FOUNDATION HOSPITAL & RESEARCH CENTER,"Kazipara, Mirpur 10",Mirpur
"H 26/11, TAJMAHAL RD",Mohammadpur,Mohammadpur
SABBIR TEA STORE,"Bosila, Mohammadpur",Mohammadpur
RONY TELECOM,"Mosque Road 2, Korail, Mohakhali",Mohakhali
IFIC BANK LIMITED (RAYER BAZAR SUB-BRANCH),"Rayer Bazar, Mohammadpur",Mohammadpur
HSBC BANK ATM,West Dhanmondi,Dhanmondi
"SALMAN, POLICE BOX","Begum Rokeya Sharani, West Kafrul, Purba Kazipara",Kafrul
FERDAUSI FASHION,"Sector 9, Uttara",Uttara
APOLLO HOSPITAL BASEMENT MASJID,"H 81, STS Ave, Block E, Bashundhara R/A",Bashundhara
"H 49, RD 12",Nikunja 2,Nikunja
"HOUSE 66, ROAD 2","House 66, Road 2, Block A, Niketan, Gulshan",Gulshan
NATIONAL HEART FOUNDATION,"Tolarbag 1st Lane, Dhaka",Tolarbagh
"H 42, RD 12","PC Culture Housing, Adabor",Adabor
HOLY FAMILY RED CRESCENT MEDICAL COLLEGE HOSPITAL,"H 1, Eskaton Garden Rd, Old Eskaton",Eskaton
DEWAN CO,"109, DIT Road, Malibagh Rail Gate, Malibagh",Malibagh
"H 8/A, RD 12","Mohammedi Housing Society, Mohammadpur",Mohammadpur
BLOCK I,Bashundhara R/A,Bashundhara
SHELTECH SHAFIQUE'S TOWER,"28, Road 15A, Dhanmondi R/A",Dhanmondi
SHIKDER BARI,"Eastern Housing, Golden Street, Shyamoli, Mohammadpur",Shyamoli
FVL RAMISA,"House 6/A, Road 7, Mohammadpur Housing Limited, Mohammadpur",Mohammadpur
SOFIA GARDEN,"Block F, Road 21, Bashundhara R/A",Bashundhara
SARA PIZZA (BANASREE-E),"Block E, H 381/2, Banashree",Banashree
JAPAN GARDEN CITY,"Building 19, Flat 701, Mohammadpur",Mohammadpur
NAMIRA KITCHEN,"H 1102, Mirpur Rd 14, Kachukhet",Mirpur
BONAYON.COM,Mirpur Cantonment,Mirpur Cantonment
APEX,"Road 27 (New 16), Dhanmondi R/A",Dhanmondi
BISMILLAH,"Road 1, Block D, Bashundhara R/A",Bashundhara
SUB LOVER'S,"Oink City, Gulshan-2",Gulshan
BANGLADESH SPECIALIZED HOSPITAL,"Mirpur Rd, Shyamoli",Shyamoli
"H 22, RD 7","Kaderabad Housing, Mohammadpur",Mohammadpur
CHEESY SLICE,Mirpur Cantonment,Mirpur
"19, ROAD 120","Banani, Gulshan",Banani
MITHAI MALIBAG COMMUNITY CENTER,"Chowdhuripara, Malibagh",Malibagh
P0LIC CONVENTION HALL,"Old Elephant Road, Wireless, Paltan",Paltan
ROAD 96,"Gulshan 2, Gulshan",Gulshan
RIJIYA BHAVAN,"H 2/GA, Habibullah Rd, Shahbagh",Shahbagh
REEN HOMES,"H 10/7, Iqbal Rd, Mohammadpur",Mohammadpur
ANOSHUA,"H 59, RD 25, Banani",Banani
PACIFIC ASSOCIATES LTD,"Road 114, Gulshan Ave, Gulshan 2",Gulshan
CP FIVE STAR,"H 99/2, Azimpur Rd, Azimpur",Azimpur
"160, HATIRPOOL","Dhanmondi R/A, Paltan",Paltan
"82/12, SOUTH BARONTEK","South Barontek, Dhaka 1206",South Barontek
YOUNG FOREVER,"Road 06, Banani DOHS, Banani",Banani
DHAKA COMMERCE COLLEGE,"Commerce College Road, Section 2",Section 2
ASIA LING APPARELS (BD) LTD,"Sector 7, Uttara",Uttara
HUIGH PARK RESIDENCE,"H 99, Viqarunnisa Rd, Siddheswari",Siddheswari
SUNBEAM CAFE,"38A, Road 103, Gulshan 2, Gulshan",Gulshan
ABDUL GHANI LODGE,"23/P, Road No. 2, Block D, Bashundhara R/A",Bashundhara
