last part,Pickup Area,Pickup Point
uttara,Uttara,"""house 14,road 6,sector 10,uttara"""
dhanmondi,Dhanmondi,"""ferns wood , 41 , raja bazar indira road , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""house 430, road 17 , block a, bashundhara r/a"""
section 2,Mirpur,"""galaxy medicine cornee,1/1,section 2"""
uttara,Uttara,"""shohag tea store ,  sector 8 , uttara"""
banani,Banani,"""beirut 99,235,road 13e,banani"""
mirpur dohs,Mirpur,"""ck maritime ltd , plot 836 , road 12 , avenew 3 , mirpur dohs"""
mohammadpur,Mohammadpur,"""vai vai cycle & hardware , rd 8 , shekhertek , mohammadpur"""
gulshan 1,Gulshan,"""mna barristers & advocates , suite 3b, h 7, rd 33, gulshan 1"""
uttara,Uttara,"""house 37, road  5, sector  10 , uttara"""
dhanmondi,Dhanmondi,"""green view , 385/4/a/b , free school street ,dhanmondi"""
dhanmondi,Dhanmondi,"""rangs malancha , west , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""h 620, rd 19, block f, bashundhara r/a"""
mohammadpur,Mohammadpur,"""new janani engineering workshop , nabi nagar housing , mohammadpur"""
sector 2,Purbachal,"""airport road , new airport road, kurmitola n, sector 2"""
gulshan,Gulshan,"""sohrawardy avenue,baridhara,gulshan"""
mohammadpur,Mohammadpur,"""27/26,block d,sher shah suri road,mohammadpur"""
dhanmondi,Dhanmondi,"""popular medical college outdoor , residential area , dhanmondi"""
dhanmondi,Dhanmondi,"""jamiya derachatul madrasa,h54,central rd,dhanmondi"""
motijheel,Motijheel,"""h d 6, outer circular rd , agb colony , motijheel"""
new airport rd,Biman Bandar,"""airport masjid , new airport rd"""
new airport rd,Biman Bandar,"""kawla bus stop , new airport rd"""
dhanmondi,Dhanmondi,"""nilima ladies tailors , h 34, rd 4, dhanmondi"""
mohammadpur,Mohammadpur,"""h 26/11,tajmahal rd,mohammadpur"""
mohammadpur,Mohammadpur,"""sabbir tea store , bosila , mohammadpur"""
mohakhali,Mohakhali,"""rony telecom,mosque road2,korail,mohakhali"""
mohammadpur,Mohammadpur,"""ific bank limited ( rayer bazar sub-branch ), rayer bazar ,mohammadpur"""
west dhanmondi,Dhanmondi,"""hsbc bank atm,west dhanmondi"""
khilgaon,Khilgaon,"""h 480, shahid baki sarak, taltola, khilgaon"""
uttara,Uttara,"""ferdausi fashion , sector 9, uttara"""
bashundhara r/a,Bashundhara R/A,"""apollo hospital basement masjid,h 81,sts ave,block e,bashundhara r/a"""
nikunja 2,Nikunja,"""h 49, rd 12, nikunja 2"""
gulshan,Gulshan,"""house 66,road 2,block a,niketan,gulshan"""
malibagh,Malibagh,"""dewan co,109,dit road,malibagh rail gate,malibagh"""
mohammadpur,Mohammadpur,"""h 8/a, rd 12, mohammadi housing society , mohammadpur"""
basundhara r/a,Bashundhara,"""block i,basundhara r/a"""
mohammadpur,Mohammadpur,"""shikder bari,eastern housing,golden street,shyamoli,mohammadpur"""
mohammadpur,Mohammadpur,"""fvl ramisa, house 6/a, road 7, mohammadpur housing limited , mohammadpur"""
basundhara r/a,Bashundhara,"""sofia garden 666 & 667,block f road 21,basundhara r/a"""
mohammadpur,Mohammadpur,"""japan garden city ,building 19, flat 701, mohammadpur"""
bashundhara r/a,Bashundhara R/A,"""bismillah , 06 , road 1, block d, bashundhara r/a"""
mohammadpur,Mohammadpur,"""h 22, rd 7, kaderabad housing , mohammadpur"""
gulshan,Gulshan,"""19, road 120 , banani, gulshan"""
malibagh,Malibagh,"""mithai malibag community center , chowdhuripara , malibagh"""
paltan,Paltan,"""p0lic convention hall, old elephant road, wireless, paltan"""
gulshan,Gulshan,"""road 96, gulshan 2, gulshan"""
mohammadpur,Mohammadpur,"""reen homes , h 10/7 , iqbal rd , mohammadpur"""
banani,Banani,"""anoshua ,h 59, rd 25, banani"""
paltan,Paltan,"""160, hatirpool , dhanmondi r/a , paltan"""
banani,Banani,"""young forever , road 06 , banani dohs , banani"""
section 2,Mirpur,"""dhaka commerce college , commerce college road, section 2"""
uttara,Uttara,"""asia ling apparels (bd) ltd , sector 7, uttara"""
gulshan,Gulshan,"""38a , road 103, gulshan 2, gulshan"""
basundhara r/a,Bashundhara,"""abdul ghani lodge , 23/p , road no. 2 , block  d , basundhara r/a"""
malibagh,Malibagh,"""cpm ( center for physiotherapy and mobility ) , malibagh rail gate , malibagh"""
gulshan,Gulshan,"""house 66, road 2, block a, nikten, gulshan"""
gulshan,Gulshan,"""road 131 , dakkhin badda , gulshan"""
mohammadpur,Mohammadpur,"""shikder bari , eastern housing , golden street, shymoli, mohammadpur"""
bashundhara r/a,Bashundhara R/A,"""block i , bashundhara r/a"""
malibagh,Malibagh,"""dewan co , 109, dit road, malibagh rail gate , malibagh"""
uttara,Uttara,"""sabaah pharma , sector 3, uttara"""
banani,Banani,"""nilambar corporation,block f,banani"""
bashundhara r/a,Bashundhara R/A,"""rd 26, block l , bashundhara r/a"""
section 2,Mirpur,"""yagishita palace , 2 , road 7, section 2"""
bashundhara r/a,Bashundhara R/A,"""rd 15, block j , bashundhara r/a"""
gulshan,Gulshan,"""south badda road,dakkhin badda,gulshan"""
mohammadpur,Mohammadpur,"""clifford nafi,h 17,rd 5,kaderbad housing,mohammadpur"""
section 2,Mirpur,"""mirpur mission , 8, shorok 2 , section 2"""
mohakhali,Mohakhali,"""sheikh russel national gastroliver institute & hospital,tb gate road,mohakhali"""
fakirapool,Fakirapool,"""zaman tower , h 37. 2, culvert rd, fakirapool"""
mirpur,Mirpur,"""avenue 2 , road 12, h 875, mirpur"""
basundhara r/a,Bashundhara,"""topia sharuba,280,d block 9 no road,block d,basundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""sofia garden , 666 & 667 , block f road 21,  bashundhara r/a"""
gulshan,Gulshan,"""dr. sinthia consultant - clinical & aesthetic dermatology , gulshan 2, gulshan"""
basundhara r/a,Bashundhara,"""road no. 22, basundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""h 37/l, rd 3, block d, bashundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""homeland mahabub palace , house 295/a sayem sobhan anvir road, block c , bashundhara r/a"""
basundhara r/a,Bashundhara,"""exclusive apartment,384,al haj abdus sobhas road,block b,basundhara r/a"""
uttara,Uttara,"""uttara engineering college,paper mill road,abdullahpur,uttara"""
mohammadpur,Mohammadpur,"""emon,h 28/a,rd 1,mohammadi housing ltd,mohammadpur"""
section 12,Mirpur,"""the majstic , adhunik hospital road, section 12"""
gulshan,Gulshan,"""united hospital limited cafe,road 72,gulshan 2,gulshan"""
bashundhara r/a,Bashundhara R/A,"""apollo hospital , h 81 , sayem sobhan anvir rd, block e , bashundhara r/a"""
mohammadpur,Mohammadpur,"""trauma center & ao orthopadic hospital,shyamoli,mohammadpur"""
section 12,Mirpur,"""salina hit's , 39/3, road 2, section 12"""
bashundhara r/a,Bashundhara R/A,"""aiub campus, kuratali, khilkhet , bashundhara r/a"""
uttara,Uttara,"""dica tex limited,house 62,road 18,sector 11,uttara"""
banani,Banani,"""golden tulip the grandmark dhaka, block h, banani"""
uttara,Uttara,"""house 51,road 16,sector 14,uttara"""
basundhara r/a,Bashundhara,"""sn palace,h 696,rd 21,block f,basundhara r/a"""
fakirapool,Fakirapool,"""new al imam hotel and restaurant, h 1, toyenbee circular rd, fakirapool"""
gulshan,Gulshan,"""tribute homes , 35, road 114, gulshan 2 , gulshan"""
mohakhali,Mohakhali,"""titas par international,house 484,road 32,mohakhali dohs,mohakhali"""
gulshan,Gulshan,"""gulshan police checkpost, gulshan  avenue, gulshan  2, gulshan"""
basundhara r/a,Bashundhara,"""lurashna , h 394 395 , rd 21, block g , basundhara r/a"""
basundhara r/a,Bashundhara,"""hurdaco international school,rd 2,block a,basundhara r/a"""
banani,Banani,"""irri , h 103, rd 1,banani"""
banani,Banani,"""dish & dessert , block c , banani"""
banani dohs,Banani,"""asoi-jv ( technical ), banani dohs"""
uttara,Uttara,"""darmaesthetics skin & laser centre, sector  13, uttara"""
gulshan,Gulshan,"""inspira advisory and consulting ltd , gulshan 1 , gulshan"""
banani,Banani,"""air ambulance and stretcher services on commercial airlines , kemal ataturk avenue , banani"""
uttara,Uttara,"""house 37 , lake driver road , sector 7,  uttara"""
banani,Banani,"""shornali , road 2/a , house 08 , block f , banani"""
bashundhara r/a,Bashundhara R/A,"""apurba  apsora gardenia ,530, block f road 17 , bashundhara r/a"""
basundhara r/a,Bashundhara,"""plot 647 , rd 3, block g , basundhara r/a"""
banani,Banani,"""gemini shopping center , kemal ataturk avenue , banani"""
basundhara r/a,Bashundhara,"""298, block road 1 , basundhara r/a"""
basundhara r/a,Bashundhara,"""898, road no. 17, basundhara r/a"""
banani,Banani,"""canadian university of bangladesh , 99 , road 11, banani"""
basundhara r/a,Bashundhara,"""mayabi sharmin , house 274 , al haj abdus  sobhan road , block  b , basundhara r/a"""
banani,Banani,"""bashat architects engineers , block f , banani"""
bashundhara r/a,Bashundhara R/A,"""h 319, akbar rd, block  d, bashundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""milima , 164, road 4, block d, bashundhara r/a"""
banani,Banani,"""techniche consulting services bd, road 01, block f, banani"""
dhanmondi,Dhanmondi,"""70/d,  dolphin goli, dhanmondi"""
nikunja 2,Nikunja,"""6 , road 4, nikunja 2"""
basundhara r/a,Bashundhara,"""road no. 14 , block a , basundhara r/a"""
paltan,Paltan,"""ramna ps , sahid capten munsur ali avenue, wireless, paltan"""
mirpur dohs,Mirpur,"""pharmacy , rd 9 , mirpur dohs"""
bashundhara r/a,Bashundhara R/A,"""h 848, rd 19, block g , bashundhara r/a"""
basundhara r/a,Bashundhara,"""bashundhara purbachal link rd , block j , basundhara r/a"""
gulshan,Gulshan,"""kalachandpur main road , baridhara, gulshan"""
gulshan,Gulshan,"""gloria jeans coffee, road 71, gulshan 2, gulshan"""
banani,Banani,"""hongkong shanghai tower, h108, rd 11, banani"""
banani,Banani,"""shanghai chinese cafe , rd 11 , banani"""
basundhara r/a,Bashundhara,"""469, road no. 7, basundhara r/a"""
section 2,Mirpur,"""abdus sattar,28,section 2"""
mirpur,Mirpur,"""obsterical & gynaecological society of bangladesh hospital(ogsb hospital)section 13,mirpur"""
basundhara r/a,Bashundhara,"""bishmillah ,06 , road 1 , block d , basundhara r/a"""
mohammadpur,Mohammadpur,"""riz park, adabar, mohammadpur"""
banani,Banani,"""the prestige magazine , house 47 , road 11 , block h , banani"""
bashundhara r/a,Bashundhara R/A,"""north end cofee roasters evercare hospital,block e,bashundhara r/a"""
uttara,Uttara,"""house 28,road 8,sector 12,uttara"""
mohammadpur,Mohammadpur,"""setara begum, h 104, rd 7, mohammadi housing society, mohammadpur"""
basundhara r/a,Bashundhara,"""334,i block road 1,basundhara r/a"""
dhanmondi,Dhanmondi,"""la gustosa kitchen,residential area,dhanmondi"""
basundhara r/a,Bashundhara,"""godule,102,sarak 14,khilkhet,basundhara r/a"""
banani,Banani,"""tulip moonlit,h 333rd 18,banani"""
uttara,Uttara,"""sector 8,uttara"""
dhanmondi,Dhanmondi,"""arsalam hotel and resturent,14,road 7,dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""road 3, block d, bashundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""693, road no. 1, bashundhara r/a"""
niketon,Niketon,"""shahid tazuddin ahamed avenue, wireless, niketon"""
khilgaon,Khilgaon,"""h 490, shahid baki sarak, taltola, khilgaon"""
uttara,Uttara,"""sector 15 welfare society office,uttara"""
section 12,Mirpur,"""73, road 4, section 12"""
bashundhara r/a,Bashundhara R/A,"""tenement- 4, h 301/a , bashundhara rd , block e, bashundhara r/a"""
kalabagan,Kalabagan,"""kalabagan west bus stop,kalabagan over bridge,kalabagan"""
uttara,Uttara,"""rd 9,sector 10,uttara"""
basundhara r/a,Bashundhara,"""iub,block ,road no 8,block b,basundhara r/a"""
gulshan,Gulshan,"""creative communication ltd , gulshan 1, gulshan"""
paltan,Paltan,"""electronic plaza,topkhana,fakirapool,paltan"""
section 2,Mirpur,"""nusrat cosmetics corner & stationery,1,road 3,section 2"""
mohammadpur,Mohammadpur,"""h 136/a, rd 1, mohammadi housing society , mohammadpur"""
mohakhali,Mohakhali,"""mehs construction chemicals ltd., lane 5, mohakhali dohs , mohakhali"""
bashundhara r/a,Bashundhara R/A,"""house 296,road 1,block f,bashundhara r/a"""
dhanmondi,Dhanmondi,"""urban southern heights, residential area , dhanmondi"""
gulshan,Gulshan,"""kpmg rahman rahman huq , 9 & 5 , bir uttam a. k . khandakar road , mohakhali ,gulshan"""
gulshan,Gulshan,"""awana, 22, road 104, gulshan 2, gulshan"""
bashundhara r/a,Bashundhara R/A,"""mostafa garden,house 245,road 6c,block b,bashundhara r/a"""
niketon,Niketon,"""nirala bhaban , h 1 , rd 2/a , niketon"""
bashundhara r/a,Bashundhara R/A,"""h 299, rd 7/a, block e , bashundhara r/a"""
sector 2,Purbachal,"""airport road , new airport road , kurmitola, sector 2"""
gulshan,Gulshan,"""teletalk customer care center , gulshan 1 , gulshan"""
basundhara r/a,Bashundhara,"""286,d block 9 no road ,block d,basundhara r/a"""
paltan,Paltan,"""jomidar goli , wireless, paltan"""
uttara,Uttara,"""ikram apparel,house 45,road 27,sector 7,uttara"""
uttara,Uttara,"""h 36,rd 20a,sector 4,uttara"""
banani,Banani,"""silver wave tours ltd , block e , banani"""
mirpur dohs,Mirpur,"""house 190, rd 02 (new ) , ave 3 , mirpur dohs"""
uttara,Uttara,"""shanto -mariam university of creative technology ,avenue 6 , sector 17 , uttara"""
uttara,Uttara,"""bliss garden, sector 4, uttara"""
gulshan,Gulshan,"""gic education limited , gulshan 1 , gulshan"""
mohakhali,Mohakhali,"""x integrated marketing agency , house 40 , road 20, mohakhali dohs , mohakhali"""
mohammadpur,Mohammadpur,"""gollachut studios , iqbal road, mohammadpur"""
banani,Banani,"""rafijas closet ,road 17/a , block e , banani"""
khilgaon,Khilgaon,"""h 308/4, tilapara rd, khilgaon"""
gulshan,Gulshan,"""arafat electronics ,post office road , gulshan"""
gulshan,Gulshan,"""arabika coffee, gulshan 2, gulshan"""
dhanmondi,Dhanmondi,"""card division ,first security islami bank limited , residential area , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""awake cafe & bistro , dhali fitness center ,bashundhara r/a"""
basundhara r/a,Bashundhara,"""382/b , d block 9 no road , block d , basundhara r/a"""
gulshan,Gulshan,"""h 35, save the children , gulshan"""
bashundhara r/a,Bashundhara R/A,"""449, ahmed akbar sobhan avenue , block d, bashundhara r/a"""
paltan,Paltan,"""baily ritz , 1 , new baily road , wireless , paltan"""
uttara,Uttara,"""ortho dent orthodontics & aesthetic dental , sector 13, uttara"""
basundhara r/a,Bashundhara,"""h 18 e , sabrina sobhan 4th ave , block h , basundhara r/a"""
bangladesh,Agargaon,"""dhaka medical college hospital , secretariat road ,dhaka , bangladesh"""
basundhara r/a,Bashundhara,"""rd 7 , block  i , basundhara r/a"""
niketon,Niketon,"""h 93/1 , rd 8 , niketon"""
gulshan,Gulshan,"""92, road 2 niketon , block a, niketon society, gulshan"""
bashundhara r/a,Bashundhara R/A,"""torasin garden, h 286, rd 7/a, block e , bashundhara r/a"""
sector 2,Purbachal,"""hazrat shahjalal international airport , terminal 1 , airport road , new airport road ,kurmitola , sector 2"""
sector 2,Purbachal,"""airport road, new airport road, kurmitola , sector 2"""
uttara,Uttara,"""house 21, shayesta khan ave, sector 4 , uttara"""
gulshan,Gulshan,"""ocean message spa, gulshan 2, gulshan"""
uttara,Uttara,"""need dolonchapa, sector 11, uttara"""
uttara,Uttara,"""oncon travels & tours, sector 13 , uttara"""
mohakhali,Mohakhali,"""raowa convention hall, mohakhali"""
bashundhara r/a,Bashundhara R/A,"""road no 15, block a,  bashundhara r/a"""
uttara,Uttara,"""ma babar dua tea store, abdullahpur , uttara"""
uttara,Uttara,"""national eye hospital, rd 14, sector 13, uttara"""
gulshan 1,Gulshan,"""h 2/b, rd 138, gulshan 1"""
bangladesh,Agargaon,"""jamuna bank tower . plot no 14 , block no cws ( c) , a k khondkar road , gulshan  1 , dhaka , bangladesh"""
uttara,Uttara,"""shanta virtue, sector 4, uttara"""
basundhara r/a,Bashundhara,"""assort  nameer  , 8/i , road no . 2 , block d , basundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""north south university, bashundhara r/a"""
gulshan 1,Gulshan,"""rd 117 , gulshan 1"""
mohammadpur,Mohammadpur,"""japan garden city , ring rd , mohammadpur"""
mirpur dohs,Mirpur,"""revolution on bikes , rd 10, mirpur dohs"""
dhanmondi,Dhanmondi,"""excel academy , 11, road 7, dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""meet 2 eat , nsu road , bashundhara r/a"""
banani,Banani,"""83, road 13a, banani"""
gulshan,Gulshan,"""login technologies  bd ltd , road 7 , gulshan 1 , gulshan"""
mohammadpur,Mohammadpur,"""united commercial bank limited atm, shyamoli , mohammadpur"""
banani,Banani,"""h 95 , rd 13 , banani"""
malibagh,Malibagh,"""rafiqul haque & associates, malibagh rail gate , malibagh"""
uttara,Uttara,"""rd 7 , sector 1 , uttara"""
uttara,Uttara,"""house 22 , road 9/b, sector 5, uttara"""
uttara,Uttara,"""narail air travels and tours, sector 15, uttara"""
paltan,Paltan,"""bailey road officers colony , sahid capten munsur ali avenue , wireless, paltan"""
dhanmondi,Dhanmondi,"""pantha path , dhanmondi"""
mohammadpur,Mohammadpur,"""10/12, sir allama muhammad  iqbal road , mohammadpur"""
mohammadpur,Mohammadpur,"""35,block d,sher shah suri road,mohammadpur"""
paltan,Paltan,"""ieb tennis courts, maolana bhasani road, fakirapool, paltan"""
gulshan,Gulshan,"""united hospital road 71,gulshan 2,gulshan"""
dhaka 1229,Khilkhet,"""american international university bangladesh , 408/1, ( old ka 66/1) , kuratoli road , kuril , dhaka 1229"""
uttara,Uttara,"""mayer doa chotpoti and fuska, sector 5, uttara"""
uttara,Uttara,"""horizontal 2,road 08,priyanka city,uttara"""
bangladesh,Agargaon,"""meraj nagar,dhaka,bangladesh"""
bashundhara r/a,Bashundhara R/A,"""house 189, road 6, block 6, block j , bashundhara r/a"""
dhanmondi,Dhanmondi,"""labaid cafe,green road,dhanmondi"""
kalabagan,Kalabagan,"""property tyre , h 38 , lake circus , kalabagan"""
banani,Banani,"""hotel dhaka golden inn, block  k , banani"""
uttara,Uttara,"""rd 7,sector 1,uttara"""
kalabagan,Kalabagan,"""green life medical college & hospital pharmacy, h 32, crescent rd, kalabagan"""
mirpur dohs,Mirpur,"""chitrogolpo , mirpur dohs"""
malibagh,Malibagh,"""rafiqul haque & associates,malibagh rail gate,malibagh"""
banani,Banani,"""0h 95,rd 13,banani"""
sector 2,Purbachal,"""hazrat shahjalal international airport,terminal 2,airport road,new airport road,kurmitola,sector 2"""
uttara,Uttara,"""ahsania mission cancer & genral hospital,dhaka ashulia highway,sector 10,uttara"""
dhanmondi,Dhanmondi,"""lab aid specialized hospital,house 6,road 4,dhanmondi"""
gulshan 1,Gulshan,"""rd 117,gulshan 1"""
basundhara r/a,Bashundhara,"""327,road no 14,block a,basundhara r/a"""
uttara,Uttara,"""grand dhaka hotel , dhaka mymensingh highway , sector 9, uttara, dhaka , bangladesdh , uttara"""
bashundhara r/a,Bashundhara R/A,"""assort nameer,8/i,road  no 2,
block d,bashundhara r/a"""
banani,Banani,"""attin arabian restaurant , h 9 , rd 22 , block  k , banani"""
dhanmondi,Dhanmondi,"""ma general store,residential area,dhanmondi"""
mirpur,Mirpur,"""california fried chicken & pastry shop (cfc) , section 1 , mirpur"""
banani,Banani,"""zayan tours & travels ltd ,  house  03 , road 17 , block d , banani"""
bangladesh,Agargaon,"""jamuna bank tower,plot no 14 block no cws (c),a k khondkar road,gulshan 1,dhaka,bangladesh"""
banani,Banani,"""hotel dhaka golden inn, block k, banani"""
mohammadpur,Mohammadpur,"""h 30,rd 11,janata housing,mohammadpur"""
kalabagan,Kalabagan,"""property tyre,  h 38 , lake  circus , kalabagan"""
basundhara r/a,Bashundhara,"""north south university,basundhara r/a"""
basundhara r/a,Bashundhara,"""north south university , basundhara r/a"""
banani,Banani,"""attin arabian restaurant, h 9, rd 22, block k, banani"""
uttara,Uttara,"""grand dhaka hotel , dhaka mymensigh highway ,srctor 9, uttara , dhaka , bangladesh , uttara"""
dhanmondi,Dhanmondi,"""sobhanbag foot overbridge,mirpur rd,sobhanbag,dhanmondi"""
mirpur,Mirpur,"""california fried chicken & pastry shop (cfc), section 1, mirpur"""
new airport rd,Biman Bandar,"""new airport flower garden,new airport rd"""
dhaka 1229,Khilkhet,"""american international university bangladesh , 408/1 ( old ka 66/1), kuratoli road , kuril, dhaka 1229"""
mohammadpur,Mohammadpur,"""10/12, sir allama muhammad iqbal road, mohammadpur"""
bangladesh,Agargaon,"""jamuna bank tower , plot no 14 , block no cws(c) , a k khondkar road , gulshan 1 , dhaka , bangladesh"""
gulshan,Gulshan,"""solitaire,house 55,road 28,gulshan 1,gulshan"""
basundhara r/a,Bashundhara,"""nilima 164,road 4,block d,basundhara r/a"""
basundhara r/a,Bashundhara,"""mission farhan,428,road 11,basundhara r/a"""
sector 2,Purbachal,"""hazrat shah jalal international airport,terminal 1,airport road ,new airport road,kurmitola,sector 2"""
mirpur,Mirpur,"""chayanir (chayanir), section 13, mirpur"""
dhanmondi,Dhanmondi,"""hasna hena,48,girks schoold road,dhanmondi"""
section 2,Mirpur,"""road 3, section 2"""
uttara,Uttara,"""jononi furniture sector,sector 7,uttara"""
sector 2,Purbachal,"""hazrat shahjalal international airport,terminal 1,airport road new airport road,kurmitola,sector 2"""
uttara,Uttara,"""amita mini mart,jashimuddin ave,sector 01,uttara"""
kalabagan,Kalabagan,"""state university of bangladesh,h 138,mirpur rd,kalabagan"""
mohammadpur,Mohammadpur,"""global islami bank.atm booth,shyamoli,mohammadpur"""
mohammadpur,Mohammadpur,"""alliance hospital limited,shyamoli,mohammadpur"""
dhanmondi,Dhanmondi,"""khao san,residential area,dhanmondi"""
