,id,original_address,cleaned_address,matched_variation,latitude,longitude,provider
1626,10659,"raffinato ristorant italiano , gulshan 2 , gulshan","raffinato ristorant italiano , gulshan 2 , gulshan",gulshan 2 gulshan,23.7947191,90.4136986,Nominatim
1629,10662,"AMBIT, H 14,NORTH CIRCULAR RD,DHANMONDI","AMBIT, H 14,NORTH CIRCULAR RD,DHANMONDI",NORTH CIRCULAR RD DHANMONDI,23.743505346232578,90.38601671210648,Nominatim
1630,10663,"ROAD 56,BANANI,GULSHAN","ROAD 56,BANANI,GULSHAN","ROAD 56,BANANI,GULSHAN, Dhaka, Bangladesh",23.79922368822227,90.41125803416531,Nominatim
1631,10664,"BAITUL SALAT JAME MASJID MARKET & JAMIA FARUQIA MADRASA , BLOCK A , MIRPUR 10","BAITUL SALAT JAME MASJID MARKET & JAMIA FARUQIA MADRASA , BLOCK A , MIRPUR 10",BLOCK A MIRPUR 10,23.81350435,90.36908662812776,Nominatim
1635,10668,"CITY OVERSEAS CNG FILLING STATION , FRONT ROAD , NIKUNJA 2","CITY OVERSEAS CNG FILLING STATION , FRONT ROAD , NIKUNJA 2",FRONT ROAD NIKUNJA 2,23.834626477159528,90.41875494263104,Nominatim
1637,10670,"44/27 , BASIRUDDIN ROAD , DHANMONDI","44/27 , BASIRUDDIN ROAD , DHANMONDI","44/27 , BASIRUDDIN ROAD , DHANMONDI",23.74877277119168,90.38445826287848,Nominatim
1638,10671,"AKOTA TRANSPORT , BUS STAND , MOHAKHALI","AKOTA TRANSPORT , BUS STAND , MOHAKHALI",BUS STAND MOHAKHALI,23.7779438,90.3984827,Nominatim
1639,10672,"HALDA VAILEY TEA LOUNGE, GULSHAN 2 , GULSHAN","HALDA VAILEY TEA LOUNGE, GULSHAN 2 , GULSHAN",GULSHAN 2 GULSHAN,23.7947191,90.4136986,Nominatim
1640,10673,"shopno nagar , shagufta new road , mirpur dohs","shopno nagar , shagufta new road , mirpur dohs",shagufta new road mirpur dohs,23.8362845,90.3674564,Nominatim
1641,10674,"SAHNOOR GARDEN , HOUSE 95/1 , AARAB BAKERY LANE , NORTH MUGDA , MUGDA","SAHNOOR GARDEN , HOUSE 95/1 , AARAB BAKERY LANE , NORTH MUGDA , MUGDA",NORTH MUGDA MUGDA,23.7323941,90.4325175,Nominatim
1642,10675,"APARTMENT BY CHARUTA , DHAKA , BANGLADESH","APARTMENT BY CHARUTA , DHAKA , BANGLADESH",CHARUTA DHAKA BANGLADESH,23.79623265,90.37345654583156,Nominatim
1643,10676,"BRAC BANK HEAD OFFICE,220/B,BIR UTTAM MIR SHAWKAT SARAK,EAST NAKHALPARA,NIKETON","BRAC BANK HEAD OFFICE,220/B,BIR UTTAM MIR SHAWKAT SARAK,EAST NAKHALPARA,NIKETON",NAKHALPARA NIKETON,23.772547708287476,90.40997916988272,Nominatim
1645,10678,"BIKRAMPUR GENERAL STORE,170/9/A,WEST KAFRUL,MUKTI HOUSING,PASCHIM KAFRUL","BIKRAMPUR GENERAL STORE,170/9/A,WEST KAFRUL,MUKTI HOUSING,PASCHIM KAFRUL",KAFRUL,23.7891719,90.3863131,Nominatim
1646,10679,"UTTARA ADHUNIK MEDICAL COLLEGE & HOSPITAL , SONARGAON JANAPATH RD , UTTARA","UTTARA ADHUNIK MEDICAL COLLEGE & HOSPITAL , SONARGAON JANAPATH RD , UTTARA",SONARGAON JANAPATH RD UTTARA,23.874392820622585,90.39565709945109,Nominatim
1647,10680,"MERCANTILE BANK LTD,KAZI NAZRUL ISLAM AVE,KAWRANBAZAR","MERCANTILE BANK LTD,KAZI NAZRUL ISLAM AVE,KAWRANBAZAR",KAWRANBAZAR,23.752307553338365,90.3948217414618,Nominatim
1648,10681,"BANGLADESH AIR FORCE RECORD OFFICE , OLD AIRPORT , AGARGAON","BANGLADESH AIR FORCE RECORD OFFICE , OLD AIRPORT , AGARGAON","BANGLADESH AIR FORCE RECORD OFFICE , OLD AIRPORT , AGARGAON, Dhaka, Bangladesh",23.7715477,90.3892408,Nominatim
1650,10683,"SDK TOWER , H 210 , ELEPHANT RD","SDK TOWER , H 210 , ELEPHANT RD",TOWER H 210 ELEPHANT RD,23.7512383,90.4095795386354,Nominatim
1651,10684,"ASGAR ALI HOSPITAL , H 111/1/A, DISTILLEY RD , DAYAGANJ","ASGAR ALI HOSPITAL , H 111/1/A, DISTILLEY RD , DAYAGANJ",RD DAYAGANJ,23.7107324,90.4240189,Nominatim
1652,10685,"LOTUN STATIONERY & COMPUTERS,KEMAL ATATURK AVENUE,BANANI","LOTUN STATIONERY & COMPUTERS,KEMAL ATATURK AVENUE,BANANI",ATATURK AVENUE BANANI,23.794191627296247,90.41222433349044,Nominatim
1653,10686,"BANGLADESH DIESEL PLANT LIMITED CORPORRATE OFFICE , KACHUKHET , DHAKA CANTONMENT","BANGLADESH DIESEL PLANT LIMITED CORPORRATE OFFICE , KACHUKHET , DHAKA CANTONMENT",DHAKA CANTONMENT,23.81583815,90.41049407160516,Nominatim
1654,10687,"THE CHILD LABORATORY SCHOOL , GONO KOBORSTHAN RD , FAYDABAD , DAKSHINKHAN","THE CHILD LABORATORY SCHOOL , GONO KOBORSTHAN RD , FAYDABAD , DAKSHINKHAN",DAKSHINKHAN,23.8604152,90.4268187,Nominatim
1656,10689,"MARKS MEDICAL COLLEGE  & DENTAL & NURSING UNIT , SECTION 13 , MIRPUR","MARKS MEDICAL COLLEGE  & DENTAL & NURSING UNIT , SECTION 13 , MIRPUR",SECTION 13 MIRPUR,23.8082843,90.372807,Nominatim
1657,10690,H 12 SENPARA PARBATA RD MIRPUR 10,H 12 SENPARA PARBATA RD MIRPUR 10,SENPARA PARBATA RD MIRPUR 10,23.80515430502765,90.37101237960734,Nominatim
1658,10691,"KOHINUR GENERAL STORE , H 490/1, ADARSHA MAHALLA RD , MIRPUR 14","KOHINUR GENERAL STORE , H 490/1, ADARSHA MAHALLA RD , MIRPUR 14",RD MIRPUR 14,23.80335644450048,90.37813265592575,Nominatim
1660,10693,"BTI WOODLANDS,HOUSE 57 59,ROAD 3,SECTOR 13,UTTARA,DHAKA","BTI WOODLANDS,HOUSE 57 59,ROAD 3,SECTOR 13,UTTARA,DHAKA",57 59 ROAD 3 SECTOR 13 UTTARA DHAKA,23.861739491136916,90.39638724493264,Nominatim
1662,10695,"CSD SHAMPAN , NEW AIRPORT RD , DHAKA CANTONMENT","CSD SHAMPAN , NEW AIRPORT RD , DHAKA CANTONMENT",NEW AIRPORT RD DHAKA CANTONMENT,23.818433808417733,90.41438957974084,Nominatim
1663,10696,"SHAHEED MANNA LINE , DHAKA , BANGLADESH","SHAHEED MANNA LINE , DHAKA , BANGLADESH",LINE DHAKA BANGLADESH,23.87342616767846,90.36839532073392,Nominatim
1664,10697,"NIHARIKA CONCORD TOWER , BLOCK C , BANANI","NIHARIKA CONCORD TOWER , BLOCK C , BANANI",BLOCK C BANANI,23.7892369,90.40277425,Nominatim
1666,10699,"ROSLYN VISTA,MOTI SARDER RD,FULBARIA","ROSLYN VISTA,MOTI SARDER RD,FULBARIA",MOTI SARDER RD FULBARIA,23.722529139787376,90.4088382186402,Nominatim
1668,10702,"BANGLALINK CENTER , BIR UTTAM MIR SHAWKAT SARAK , GULSHAN 1","BANGLALINK CENTER , BIR UTTAM MIR SHAWKAT SARAK , GULSHAN 1",CENTER BIR UTTAM MIR SHAWKAT SARAK GULSHAN 1,23.788708,90.41616335,Nominatim
1669,10703,"M RAHMAT ALI RD,KAMRANGIRCHAR","M RAHMAT ALI RD,KAMRANGIRCHAR",ALI RD KAMRANGIRCHAR,23.7145473,90.3813578,Nominatim
1670,10704,"THE HIJAB SHOP , RD 1/A , NIKETON","THE HIJAB SHOP , RD 1/A , NIKETON",RD 1/A NIKETON,23.776610297026345,90.41253535131771,Nominatim
1671,10705,"DOSA GARDEN,AGARGAON,MIRPUR","DOSA GARDEN,AGARGAON,MIRPUR",AGARGAON MIRPUR,23.79416924800666,90.38800214950996,Nominatim
1672,10706,"azmpur bus stand , dhaka 1230 bangladesh","azmpur bus stand , dhaka 1230 bangladesh",bus stand dhaka 1230 bangladesh,23.8796098,90.3925141,Nominatim
1674,10708,"SEGUNBAGICHA HIGH SCHOOL,TOPKHANA RD","SEGUNBAGICHA HIGH SCHOOL,TOPKHANA RD",TOPKHANA RD,23.72995815520773,90.40774732523133,Nominatim
1675,10709,"APOLLO HOSPITAL , SAYEM SOBHAN ANVIR4 ROAD , BLOCK D, , BASHUNDHARA R/A","APOLLO HOSPITAL , SAYEM SOBHAN ANVIR4 ROAD , BLOCK D, , BASHUNDHARA R/A",ROAD BLOCK D BASHUNDHARA R/A,23.8166725,90.42942658076268,Nominatim
1676,10710,"PKSF , SHER  E  BANGLA RD , AGARGAON","PKSF , SHER  E  BANGLA RD , AGARGAON",SHER E BANGLA RD AGARGAON,23.7677111,90.370782,Nominatim
1677,10711,"NOKSHI J F PLACE,H 99,LAKE CIRCUS,KALABAGAN","NOKSHI J F PLACE,H 99,LAKE CIRCUS,KALABAGAN",LAKE CIRCUS KALABAGAN,23.74748621537525,90.38240596977576,Nominatim
1679,10713,"CITY HOSPITAL,BLOCK E,LALMATIA","CITY HOSPITAL,BLOCK E,LALMATIA",BLOCK E LALMATIA,23.754238731078047,90.36593892399564,Nominatim
1680,10714,"RANGS EMART DHANMONDI , RESIDENTIAL AREA , DHANMONDI","RANGS EMART DHANMONDI , RESIDENTIAL AREA , DHANMONDI",DHANMONDI RESIDENTIAL AREA DHANMONDI,23.75354335,90.37030523476284,Nominatim
1681,10715,"PANTHA NIBASH -1 , H 63 , ALKE CIRCUS , KALABAGAN","PANTHA NIBASH -1 , H 63 , ALKE CIRCUS , KALABAGAN",CIRCUS KALABAGAN,23.74748621537525,90.38240596977576,Nominatim
1682,10716,"NSO TECHNOLOGIES,P C CULTURE HOUSING SOCIETY,SHEKHERTEK","NSO TECHNOLOGIES,P C CULTURE HOUSING SOCIETY,SHEKHERTEK",CULTURE HOUSING SOCIETY SHEKHERTEK,23.7664141,90.3578379,Nominatim
1683,10717,"GOPAL SAHA LN , LUXMIBAZAR , SUTRAPUR","GOPAL SAHA LN , LUXMIBAZAR , SUTRAPUR",LUXMIBAZAR SUTRAPUR,23.7083641,90.4150807,Nominatim
1685,10719,"RD 1,MOHAMMADIA HOUSING LTD,MOHAMMADPUR","RD 1,MOHAMMADIA HOUSING LTD,MOHAMMADPUR","RD 1,MOHAMMADIA HOUSING LTD,MOHAMMADPUR",23.7736406,90.3608853,Nominatim
1687,10721,"PARADISE CABLES,B B RD,BALUR MATH,NARAYANGANJ SADAR,NARAYANGANJ,1400","PARADISE CABLES,B B RD,BALUR MATH,NARAYANGANJ SADAR,NARAYANGANJ,1400",BALUR MATH NARAYANGANJ SADAR NARAYANGANJ 1400,23.6745419,90.48715359420048,Nominatim
1689,10723,"RAMPURA BRIDGE,EAST RAMPURA","RAMPURA BRIDGE,EAST RAMPURA","RAMPURA BRIDGE,EAST RAMPURA, Dhaka, Bangladesh",23.76802955,90.42334025,Nominatim
1690,10724,"THAILAND SPA AND MASSAGE,TB GATE,MOHAKHALI","THAILAND SPA AND MASSAGE,TB GATE,MOHAKHALI",TB GATE MOHAKHALI,23.7793221,90.4091361,Nominatim
1691,10725,"H 383,RD 7,BLOCK F,BASHUNDHARA R/A","H 383,RD 7,BLOCK F,BASHUNDHARA R/A",BLOCK F BASHUNDHARA R/A,23.8166725,90.42942658076268,Nominatim
