"KOMLAPUR RAILWAY STATION",""
"CHICKEN ST , H 166 , MIRPUR RD , KALABAGAN",""
"RAYERBAG BUS STOP,DHAKA CHATTOGRAM HIGHWAY",""
"GUSTO BISTRO & COFFEE HOUSE,SECTOR 1,UTTARA",""
"BRAC UNIVERSITY  ( NEW CAMPUS ) , DIT RD , MERUL BADDA",""
"BANK ASIA ATM,SHABAG RD,SHAHBAG",""
"ARMED POLICE BATTALION SCHOOL & COLLEGE CANTEEN , SECTOR 4 , UTTARA",""
"GROWMORE CONCULTANTS & ASSOCIATES MOHAKHALI DOHS",""
"HAZRAT SHAHJALAL INTERNATIONAL AIPORT",""
"AALOK MOTHER AND CHILD CARE CENTRE",""
"ZAMA ENTERPRISE , SEGUNBAGICHA RD , SEGUNBAGICHA",""
"CHANDNI CHAWK SHOPPING COMPLEX , MIRPUR RD , NEW MARKET",""
"MEJBANI KHANA,ROAD 13,SECTOR 10,UTTARA",""
"GORAN TEMPU STAND , BAGAN BARI ROAF , UTTOR MADARTEK , SHHJAHANPUR",""
"RUPNAGAR BUS STOP , MIRPUR RD",""
"NORTH END COFFEE ROASTERS EVERCARE HOSPITAL , BLOCK E , BASHUNDHARA R/A",""
"CRESCENT SPECIALIZED DENTAL SERVICE , SECTION 10 BLOCK B , MIRPUR",""
"PALLABU , MIRPUR 12",""
"AIRPORT CARGO  TERMINAL PARKING , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT",""
"BASHIR UDDIN RD JAME MASJID , BASHIR UDDIN RD , KALABAGAN",""
"SM ENGINEERING LRD,SECTOR 11,UTTARA",""
"MASJID E BAITUL AKSA , JASHIMUDDIN RD, SECTOR 5, UTTARA",""
"SKY CAPITAL AIRLINES LIMITED,HAZRAT SHAHJALAL INTERNATIONAL AIRPORT,KURMITOLA",""
"LOST AND FOUND COMPLAINT DESK , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , KURMITOLA",""
"YORK HOSPITAL",""
"DESH ORGANIC , ROAD-20 , SECTOR-13 , UTTARA",""
"KANAKCHAPA BUILDING , MATIKATA MIRPUR ECB",""
"FARIHA DRUG HOUSE , 455/KHA , DOKKHIN PAIKPARA , MULTI HOUSING , MODDHO PAIKPARA",""
"ZABEDA MOHOL , H 2/A , RD 19 , NIKUNJA 2",""
"ATATRUK TOWER , BLOCK K , BANANI",""
"ANWAR PHARMA , HARIRAMOUR , MIRPUR",""
"shopno nagar , shagufta new road, mirpur dohs",""
"SENA KALYAN SANGSHTHA SALSE PROMOTION OFFICE,IQBAL ROAD,MOHAMMADPUR",""
"TVS SERVICE CENTER , MONIPUR , MIRPUR 2",""
"DHAKA SOUTH CITY CORPORATION ( DSCC ) , PHONIX ROAD , FAKIRAPOOL , GULISHTAN",""
"104 , DINANATHN SEN ROAD , GOPIBAG SUTRAPUR",""
"300 FEET VIRAL POINT , BARUA , KHILKHET",""
"HETTICH APPLICATION CENTER BANGALDESH GULSHAN 1",""
"ARAMBAG R/A , PALLABI",""
"GRAND PRINCE RESTAURANT & CHINESE FOODS , RING RD , JAPAN GARDEN CITY , MOHAMMADPUR",""
"RAJUK UTTARA APARTMENT PROJECT  ( RUAP ) , SECTOR 18",""
"THE GREAT KABAB FACTORY,SATMASJID ROAD,DHANMONDI",""
"NURU MIYAR TEA STORE,H 212,SYED NAZRUL ISLAM SARANI,PURANA PALTAN",""
"PIISTECH LIMITED,SECTOR 6,UTTARA",""
"1/A,ROAD 35,GULSHAN 2,GULSHAN",""
"MOSLEM ENTERPRISE,KHAJE DEWAN,LALBAGH",""
"ABDUR RAHIM TELECOM , MANIK MIA AVENUE , DHANMONDI",""
"FATEMA , H 68 , RD 9/A, DHANMONDI",""
"H 2/4, RD 9 , BL;OCK C, BANASREE",""
"NATIONAL CANCER INSTITUTE AND HOSPITAL , TB GATE RD , MOHAKHALI",""
"GATE NO 2,DHAKA MEDICAL COLLEGE HOSPITAL,DHAKA MEDICAL COLLEGE,CANGKHAR POOL",""
"bkash corporate office shadhinata tower , baf shaheen college , jahangir gate",""
"MANASI CINEMA HALL CIRCLE,BANGSHAL RD,NAWABPUR",""
"NNORTH BADDA FOOT OVER BRIDGE",""
"DOMINO'S PIZZA  MIRPUR 2 ,. RAINKHOLA MIRPOUR 1",""
"AL ARAFAH ISLAMIC INTERNATIONAL SCHOOL & COLLEGE,JHAUCHOR,HAZARIBAG",""
"RD 7 , BLOCK D , BASHUDNHARA R/A",""
"BLOCK K , BASHUDNHARA R/A",""
"RANGS WATERFRONT , GULSHAN 1, GULSHAN",""
"H 950 , RD 13 , BLOCK G , BASUNDHARA R/A",""
"DHANSHIRI,ROAD 45,GULSHAN 2,GULSHAN",""
"BASHUNDHARA K BLOCK FIELD,DHAKA,BANGLADESH",""
"BAITUL ATIK JAME MOSJID , WEST NAKHALPARA ROAD , WEST NAKHALPARA , TEJGAON",""
"DHAKA RESIDENTIAL MODEL COLLEGE , MIRPUR RD , MOHAMMADPUR",""
"7 , ROAD 10 , SECTION 12",""
"144, I BLOCK ROAD 7 , BASUNDHARA R/A",""
"WELL FOOD , GREEN ROAD , PANTHAPATH SIGNAL",""
"HERITAGE ANJUBER MONJIL , SHANTIBAGH , MALIBAGH",""
"OATHAO HQ, CWN (A) 3A, ROAD 49, GULSHAN 2",""
"BARIDHARA DOHS MASJID , BARIDHARA DOHS MAIN RD , BARIDHARA DOHS",""
"EASTERN POINT,SHANTINAGAR RD,SHANTINAGAR",""
"HOUSE 16,ROAD 7,SECTOR 5,UTTARA",""
"DHAKA CROWN MEDICAL CENTRE , NORTH BADDA",""
"MAXELL KAISAREE FLATS , RESIDENTIAL AREA , DHANMONDI",""
"H 532 , RD 12B , ADABOR",""
"SOUTH BREEZE SCHOOL,H 74,RD 7/A,DHANMONDI",""
"DILU ROAD, WIRELESS, MOGHBAZAR",""
"UTTAR KAFRUL HIGH SCHOOL ROAD , UTTAR KAFRUL , PURBA KAZIPARA",""
"HATEMBAG RD,WEST DHANMONDI",""
"REGIONAL PASSPORT OFFICE , NARAYANGANJ , DHAKESHWARI JALKURY RD , JALKURY , GODENAIL , NARAYANGANJ , 1421",""
"HOUSE 479 , LANE 08 , BARIDHARA DOHS , DHAKA",""
"EAT & MEET,RANIA AVENUE,BASUNDHARA RESIDENTIAL AREA",""
"CREATIVE CUISINE,ARAMBAG RESIDENTIAL AREA,MIRPUR 7",""
"DHAKA PUBLIC SCHOOL & COLLEGE , H 52/A , RD 9/A , DHANMONDI",""
"DISTRICT EMPLOYMENT AND MANPOWER OFFICE (DEMO) , DHAKA",""
"GODHULI MEDICINE CORNER,KAMAL KHAN RD,IBRAHIMPUR",""
"LONDON INTERNATIONAL SCHOOL,ROAD 1,BLOCK A,GULSHAN 1,GULSHAN",""
"BAGAN BILAS FLAT OWNERS ASSOCIATION , BLOCK A, BASHUNDHARA R/A",""
"JABBER BUILDING PWD QUATER,RUPNAGAR,MIRPUR 3",""
"AMAZON LILLY LAKE VIEW RESIDENCE , BLOCK E , BANANI",""
"SHARIATPUR DOOR COMPLEX , BLOCK B AFTABNAGAR",""
"SQUARE ABC RESIDENCES , MIRPUR 7",""
"4,PORISONGKHAN AVENUE,TALTOLA,PASCHIM KAFRUL",""
"KNIT CONCERN LTD",""
"KRYPTON IT SERVICES , RAINKHOLA , MIRPUR 1",""
"ROAD 7B , GULSHAN 2, GULSHAN",""
"39/A,ROAD NO 1BLOCK A,BASUNDHARA R/A",""
"PRIYA SWEETS AND BAKERY,H 2/B,KAMALAPUR RD,AHMEDBAG,SABUJBAG",""
"BORDER BAZAR WEST SHEWRAPARA",""
"SECTION BRIDGE , VAGOLPUR KAMRANGIRCHAR",""
"5/8,LALMATIA BLOCK E,LALMATIA,MOHAMMADPUR",""
"10 MINUTE SCHOOL ENGLISH CENTRE UTTARA,SECTOR 3,UTTARA",""
"252, ROAD 3 , AVENUE 3, MIRPUR DOHS",""
"chef's table, gulsahn 2, gulshan",""
"H 579/B , RD 8 , ADABOR",""
"LAUREN VISTA MARKET,ELEPHANT RD",""
"SHIMANTO SQUARE , ESIDENTIAL AREA , DHANMONDI",""
"HOUSE 166 , BLOCK B , ROAD 4 , BLOCK B , BASHUDNHARA R/A",""
"SHANTONEER APARTMENT,HOUSE 13-14,ROAD 02",""
"0H 95,RD 13,BANANI",""
"SHAI , BLOCK F, BANANI",""
"HOLY WAHEDA , 105 , SABRINA SOBHAN 4TH AVENUE ROAD , BLOCK D , BASUNDHARA R/A",""
"KRISHIBID INSTITUTION BANGLADESH , KHAMARBARI  RD , FARMGATE",""
"THE GROVE BISTRO GULSHAN 2 GULSHAN",""
"WASABI SIRENS , ROAD 02 , SECTOR 10 , UTTARA",""
"Hazrat Shahjalal International Airport",""
"SHYAMOLI SQUARE SHOPPING MALL , MPHAMMADPUR",""
"MOHAKHALI GAUSUL AZOM MASJID , H 54 A/B , BIR UTTAM AK KHANDAKAR RD , GULSHAN 1",""
"GINZA , BLOCK H , BANANI",""
"CADRE HOME , MONIPUR , MIRPUR 2",""
"NANNU TEA STALL,NURERCHALA RD,NURER CHALA",""
"GABTOLI BUS STATION,MIRPUR ROAD,ABDUL RAFIQ HOUSING,GABTALI",""
"ROAD 09 HOUSE 06 FLAT A9 DAKKHINAYAN,DHANMONDI,DHAKA",""
"BASUNDHARA CITY TELETALK AMADERIPHONE CUSTOMER CARE & SALES CENTER,PANTHAPATH",""
"ENA KINGDOM , H 32 , LAKE CIRCUS , KALABAGAN",""
"254, LANE 6 , SENPARA PARBATA , PURBA KAZIPARA",""
"WINDOW NETWORK , TOLARBAG , MIRPUR 1",""
"KALI BARI BAZAR , BAUNIA RD , KALI BARI , DHAKA CANTONMENT",""
"GALESIA HOTEL & RESORT LTD , BLOCK B , BANANI",""
"SOUTH KAFRUL,KAFRUL",""
"ACDI/VOCA,BARO BHUIYAN TOWER,ROAD 49,KAMAL ATATURK AVENUE,GULSHAN 2",""
"SALAM DAIRY FARM AND FOOD PRODUCTS BASABO BUDDHA MUNDIR",""
"H 25, RD 18 , BANANI",""
"POPULAR DIAGNOSTICS CENTER LTD , ROAD 7 , SECTOR 4 , UTTARA",""
"ROAD 2A , KURMITOLA , SECTOR 4",""
"TENEMENT- 4, H 301/A , BASHUNDHARA RD , BLOCK E, BASHUNDHARA R/A",""
"ALPHA CLOTHING LIMITED , BLOCK J , BARIDHARA DOHS",""
"SULTANA KAMAL MOHILA KRIRA COMPLEX,RD 9/A,DHANMONDI",""
"KAZI ENTERPRISE , H 41 , TANNERY RD ,  JIGATALA",""
"CHIRONTONI,39,ROAD 12A,DHANMONDI R/A",""
"UNIVERSITY CENTER FOR ENDO LAPAROSCOPIC SURGERY(UCELS),SHAHBAG,RAMNA",""
"TRACK INNOVATIVE TECHNOLOGIES , ROAD 91 , GULSHAN 2 , GULSHAN",""
"SADF SHADHIN AGRO & DAIRY FIRM, DHAKA ARICHA HIGHWAY , BILAMALIA , JADUR CHAR",""
"CITY MAHAL CHINES RESTAURANT & CONVENTION CENTER LTD,105/1/A SHADHIN BANGLA SUPER MARKET,MIRPUR 1",""
"NEW DHAKA MODERN CLINIC GARAGE,D C RAY RD,ARMANITOLA",""
"15 , ROAD 105, GULSHAN 2, GULSHAN",""
"bismillah chotpoti house , tolerbag , mirpur 1",""
"ashik villa d 58 road 3 mohanagar housing project niketan",""
"ANANDA COMMUNITY CENTER , NAYA PALTAN RD , NAYA PALTAN",""
"211/A , ROAD NO 7 , BLOCK A , BASUNDHARA R/A",""
"KAMALAPUR RAILWAY POLICE  STATION, STATION RD ,  KAMALAPUR",""
"IDEAL COLLEGE , CENTRAL RD , DHANMONDI",""
"25, TEJKUNIPARA , GENUSYS ANWARA GARDEN , FARMGATE",""
"SHANTINAGAR BUS STOP , MEW BAILY ROAD",""
"RICHMAN,PANTHAPATH",""
"RD 75 , GULSHAN 2",""
"HOUSE 5 , ROAD 8 , SECTOR 10 , UTTARA",""
"VATARA RD , NOTUN BAZAR , GULSHAN",""
"GINZA DHANMONDI,WEST",""
"BAY'S AZURE",""
"H 38 COMPLEX CO POERATIVE SOCIETY , H 38/3 , RAMNA CENTURY AVE , SIDDHESWARI",""
"HD. ABDUR RAHMAN , BLOCK D , MIRPUR 10",""
"SUNDORA BEAUTY , GULSHAN 2 , GULSHAN",""
"JAMTOLA BAZAR BINDU BRITTO GOLI,EAST SHEWRAPARA",""
"H 37/L, RD 3, BLOCK D, BASHUNDHARA R/A",""
"RAJUK UTTARA APARTMENT PROJECT ( RUAP) ROAD 1, SECTOR 1 , UTTARA",""
"TURKISH BAZAR & RESTAURANT , 48 ROAD 13C BANANI",""
"BARI OFFICERS QUARTER BARI ROAD,GAZIPUR",""
"NAGAR BHABAN , PHONIX RD , GULISTAN",""
"H 18 , SUDHI SOMAJ LANE , SIDDHESWARI",""
"LINE 13 , BLOCK A , MIRPUR 10",""
"DIZIT LIMITED , ROZD 4 , BLOCK F , BANANI",""
"CHITTAGONG GRAMMER SCHOOL,23,KAMAL ATATURK AVE,BANANI",""
"ROAD 4A , DHANMONDI R/A",""
"BLOCK I , BASHUDNHJARA RF/A",""
"MUSAFIR TOURS,DOHS,MIRPUR",""
"DHUPKHOLA KACHA BAZAR MURGITOLA MOR , DITILLERY RD , GANDARIA",""
"ROSHID CHATTOR,ARJOTPARA,MOHAKHALI",""
"2,ROAD 3,SECTION 10",""
"JAPAN GARDEN CITY,15 NO BUILDING,MOHAMMADPUR,DHAKA",""
"LAKE LODGE , SECTOR 10 , UTTARA",""
"CLOWS , 6 , ROAD 19A,  BANANI",""
"H 2/2, RD 1, BLOCK C, LALMATIA",""
"RESIDENTIAL ( SLUM) MOGHBAZAR",""
"RK FASHION , BONGO BAZAR , GULSHAN",""
"ANWAR KHAN MODERN MEDICAL COLLEGE RD 7 , DHANMONDI",""
"DHAKA UNIVERSITY JOURNALIST ASSOCIATION (DUJA) SHAHBAG",""
"SHANTO'S HQ",""
"NEW BIKRAMPUR PHARMACY,H 19/1,RANKIN ST,WARI",""
"LABAID SPECIALIZED HOSPITAL,6,ROAD 4,DHAMONDI",""
"HOUSE 12,ROAD 1,SECTOR 5,UTTARA",""
"MASJIDUL EHSAN , TOLARBAG MIRPUR 1",""
"JAMAL REFRIGERATION ELECTRIC WORKS , MONIPUR , MIRPUR 2",""
"AURA THAI SALOON & BEAUTY CARE , BLOCK C , BANASREE",""
"AMIN MOHAMMAD GROUP , H 752, SATMASJID RD , JIGATALA",""
"HOUSE 9 , ROAD 18 , SECTOR 14 , UTTARA",""
"SHAHID BAKI SARAK,KHILGAON GOVT. COLONY,CHOWDHURIPARA,MALIBAGH",""
"SIFAT TELECOM , GAZIPUR , MOUCHAK",""
"H 13, NORTH CIRCULAR RD , DHANMONDI",""
"707, BLOCK F ROAD 22, BASHUDNHARA R/A",""
"NEURO GEN HEALTH CARE , PANTHAPATH",""
"GAUSIA HOTEL AND RESTAURANT , SHIKKATULI",""
"SAYEDNAGAR MODEL SCHOOL , SAYED NAGAR , NOTUN BAZAR",""
"NATIONAL ENT INSTITUTE,LOVE RD,TEJGAON",""
"ALLAH KARIM JAME MASJID SATMASJID ROAD , MOHAMMADPUR",""
"SALAD BAR , SUVASTU AMIRUL VILLA , ROAD 36 , GULSHAN 2 , GULSHAN",""
"DELTA LIFE TOWER & VFS CENTRE , GULSHAN 2",""
"362/5 , NORTH PERERBUG , MUKTI HOUSING  , DOKKHIN MONIPUR",""
"MIR TELECOM GROUP CORPLRATE HOUSE, 4, ROAD 21, GULSHAN 1, GULSHAN , 1212",""
"banglalink tiger den ,  gulshan 1 , gulshan",""
"DOMESTIC TERMINAL ( DAC ) , HAZRAT SHAHJALALINTERNATIONAL AIRPORT",""
"SAWAPNO , RD 2 , SECTOR 11 , UTTARA",""
"RD 3,BLOCK L,BASUNDHARA R/A",""
"FORTIS DOWNTOWN RESORT,TREEMOHONI FOKIRKHALI ROAD,BORO BERAID,100 FEET ROAD",""
"ASGAR ALI HOSPITAL , OPD PHARMACY DHUPKHOLA , GANDARIA",""
"RD 2 , BLOCK C , BASUNDHARA R/A",""
"SOVEREIGN,H 4,RD 18,BANANI",""
"IBN SINA DIAGONSTIC & IMAGING CENTER , H 48 , RD 9A, DHANMONDI",""
"FIROZA VILLA ( ROJAN - RIHAN ) BLOCK J , BASHUNDHARA R/A",""
"BASHUNDHARA AVIATION SERVICES, BLOCK C , BASHUDNHARA R/A",""
"FIROZA RASHID NIBASH,INDUSTRIAL AREA TEJGAON",""
"NADDAPARA RD , NADDAPARA , DAKSHINKHAN",""
"THE AGROMAN LTD , SECTOR 10 , UTTARA",""
"NAVANA PROBANI , RIDGEDALE , AVENUE 5 , SECTION 11 , MIRPUR DHAKA",""
"NEUROGEN HEALTHCARE , PANTHAPATH",""
"SJS GLOBAL SOURCING, GAREEB-E-NAWAZ AVE , SECTOR 13, UTTARA",""
"RELIANCE BUILDING,H 146,RD 8,BLOCK D,BASUNDHARA R/A",""
"RD 14A, SECTOR 4 , UTTARA",""
"IRIS APARTMENT , H 11, RD 10 , BANANI",""
"HANGOUT RESTAURANT & PARTY CENTER,RUPAYAN ZR PLAZA,SAT MASJID RD,DHANMONDI",""
"JAHANGGIR STORE,BUDDHIJIBI SHAHID MINAR RD,GABTALI",""
"UNITED COMMERCIAL BANK ( UCB ) , NAMAPARA ROAD , BOTTOLA , KHILKHET",""
"GRAMEEN PHONE HEAD OFFICE , ALHAZ ABDUS SOBHAN RD , BLOCK B , BASHUNDHARA R/A",""
"TENEMENT 1 , H 301/A , RD 6 , BLOCK E , BASUNDHARA R/A",""
"NORTH  SOUTH UNIVERSITY  ( NSU)",""
"H 507 , RD 13 , BLOCK G , BASUNDHARA R/A",""
"BAITUL AMAN JAME MASJID , H 2 , RD 5 , PALLABI",""
"GULSHAN 1, DNCC MARKET  MASJID , GULSHAN",""
"MAYASIR BY MAHEEN KHAN,GULSHAN 2,GULSHAN",""
"HOUSE 1 ROAD 1 BLOCK F AFTABNAGAR",""
"MOHAMMADI HOMES LTD,MOHAMMADPUR",""
"ISLAMI BANK BANGLADESH LIMITED,ROAD 10",""
"MIRPUR 10 METRO RAIL STATION,DHAKA",""
"MIRPUR BANASREE SHAREE MARKET , BENAROSHI POLLI ROAD , SECTION 10",""
"MOTIJHEEL SHAPLA CHOTTOR , MOTIJHEEL",""
"AZIMPUR BUS STAND,AZIMPUR RD",""
"MUNTAHA SHOE STORE , BATTERY GHAT RD , KAMRANGIRCHAR",""
"UTTAR PARA , KHILKHET",""
"HOTEL ARISTROCRAT IN RESTAURANT,ROAD 68,GULSHAN 2,GULSHAN",""
"KURIL PUBLIC TOILET , BISHAW ROAD",""
"PALLABI POST OFFICE , PALLABI POST OFFICE RD , BLOCK B , MIRPUR 7",""
"SHAPLA BUILDING , MIST , MIRPUR CANTONMENT",""
"JILANI VILLA , 16 , SECTION 6",""
"ALIF GENERAL STORE,RD 9,MIRPUR 1",""
"B416 , KHILGAON CHOWDHURY PARA , DHAKA",""
"CRICKET GROUND CAFE,BLOCK D,MIRPUR 12",""
"46/1/A, B,C,D,E, ROAD 15 , JANATA HOUSING , SENPARA PARBATA , SHAH ALI BAGH",""
"RIFAT OWSHUDHALOPY , R M DAS LN , FARASHGANJ , SUTRAPUR",""
"MARIUM TOWER 1",""
"TONOTRO , SHREENAGAR , MUNSHIGANJ",""
"STATE BANK OF INDIA , PLOT 57 & 57/A , RD 23 , GULSHAN 1",""
"BANGLADESH FERTALITY HOSPITAL,BLOCK E,BANASREE",""
"JAPAN BANGLADESH FRIENDSHIP HOSPITAL",""
"AATTIQABASHI CHANDRIMA MODEL TOWN , MOHAMMADPUR",""
"H 81/1/A, DINANATH SEN RD , GANDARIA",""
"GREEN LIFE ARTHROSCOPY , KNEE AND SPORTS INJURY CENTRE , KATHALBAGAN , GREEN ROAD",""
"FOUR SEASONS RESTAURANT , SECTION 7 , MIRPUR 11",""
"PATHAO HQ , CWN ( A ) 3A , ROAD 49 , GULSHAN 2",""
"RAIBO ANGGINA, H 14/2/C,RD 3/A,DHANMONDI",""
"GOVT. OFFICERS QUARTER , MIRPUR-6 , DHAKA-1216, RUPNAGAR RESIDENTIAL AREA",""
"CITY PALACE SPA, GULSHAN 1",""
"SUNSHINE TRAVEL AIR,HOUSE 4,ROAD 13,SECTOR 1,UTTARA",""
"10 minute school , house b/107 , road 08 , mohakhali dohs , dhaka",""
"VIP GATE , DHAKA RAILWAY STATION",""
"CITY BANK ATM , HOTEL AMARI , GULSHAN 2",""
"FARMGATE METRO RAIL STATION,DHAKA",""
"FINGERPRINTS -BD TOLARBAG , MIRPUR 1",""
"NORTH END COFFEE ROASTERS BOARK MEHNUR , BLOCK B , BANANI",""
"SANARPAR BUS STOP , DHAKA CHITTAGONG HIGHWAY MUKTAJHEEL , SHIDDHIRGANJ , NARYANGANJ  1361",""
"BAHSUNDHARA CITY SHOPPING COMPLEX, PANTHAPATH DHAKA",""
"H 21/10 , BABAR RD , MOHAMMADPUR",""
"CHAUHAT,DHAMRAI,DHAKA",""
"298/1, A, JHILPAR , ROAD 2, PIRERBAG , MUKTI HOUSING , DOKKHIN PAIKPARA",""
"BAHADUR SHAH PARK ( VICTORIA PARK ) , CHITTA RANJAN AVENUE , BANGLA BAZAR , KERANIGANJ SUBDISTRICT",""
"SHYAMPUR BAZAR , DHAKA NARAYANGANJ RD , SHYAMPUR",""
"BISMILLAH TELECOM CENTER , EAST NURERCHALA , SHAHJADPUR",""
"LAKESHORE HOTEL GULSHAN , 47 , ROAD 41, GULSHAN 2, GULSHAN",""
"BOISHAKHI SUPER STORE , VATARA RD , NATUN BAZAR",""
"GULSHAN GRACE , H 8 , BIR UTTAM AK KHANDAKER RD GULSHAN 1",""
"SHER E BANGLA NAGAR GOVT GIRLS HIGH SCHOOL,SHYAMOLI RD,AGARGAON",""
"RD 89,GULSHAN 2",""
"HUMAYUN ROAD , MOHAMMADPUR",""
"NATIONAL INSTITUTE OF LABRATORY MEDICINE & REFERRAL CENTER (NILMRC),PLOT F/17A,SHER E BANGLA NAGAR,AGARGAON",""
"BSH CAFETERIA,SHYAMOLI,MOHAMMMADPUR",""
"1/E , ROAD 2 , BLOCK C , BASUNDHARA R/A",""
"VANGA RD , MUNSHIGANJ , 1520",""
"BANGLADESH UNIVERSITY OF ENGINEERING TECHNOLOGY (BUET),FULLER RD",""
"R SIM GATE,HARICHARAN RAY RD,GANDARIA",""
"US BANGLA AIRLINES , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , KURMITOLA",""
"AVENUE 11,MIRPUR DOHS,MIRPUR 12",""
"APOLLO HOSPITAL , APOLLO HOSPITAL RD , BASHUNDHARA , BASHUNDHARA R/A",""
"BRB HOSPITAL LTD,PAMTHAPATH",""
"BRITICH COUNCIL,FULLER RD,UNIVERSITY OF DHAKA",""
"MANMA SHANDHA,RESIDENTIAL AREA,DHANMONDI",""
"PWD COMMUNITY HALL , INDUSTRIAL AREA , TEJGAON",""
"LORDS INSTITUTE , GULSHAN 2 , GULSHAN",""
"VISION EYE HOSPITAL, GREEN ROAD , DHANMONDI",""
"SADEK FILLING STATION , BERIBADH RD , BOROIKHALI , HAZARIBAGH",""
"DAKKHIN BANASREE JAME MOSJID",""
"KALLYANPUR SHAHI MOSQUE",""
"PATHAO HQ,CWN (A)3A,ROAD 49,GULSHAN 2",""
"H 29 , RAMPURA TITAS RD , BLOCK B , BANASHREE",""
"OMNI RESIDENCY,ROAD 14,DIPLOMATIC ZONE,BARIDHARA",""
"TRADE HUB,DOHS,MIRPUR",""
"H 74/5C,GREEN RD",""
"ROAD NO. 1 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR",""
"ROAD 9/8,MADARTEK ALAHIBAG RESIDENTIAL AREA,SHHAJAHANPUR",""
"EMON,H 28/A,RD 1,MOHAMMADI HOUSING LTD,MOHAMMADPUR",""
"TASTY TREAT FARMGATE",""
"PARENT'S BLESSING MILK VITA ROAD , RUPNAGAR RESIDENTIAL AREA , MIRPUR",""
"OTOBI , BIR UTTAM A.K. KHANDAKAR ROAD , MOHAKHALI , GULSHAN",""
"36/1/A,EAST AHMED NAGAR,PAIK PARA,SENPARA PARBATA,PASCHIM MONIPUR",""
"GEYOHAAT,SECTOR 11,UTTARA","(23.8667, 90.4)"
"NEW EASKATON RD,NEW EASKATON",""
"METRO SHOPPING MALL,MIRPUR RD,DHANMONDI",""
"SENAPRANGAN,MATIKATA ROAD,DHAKA,BANGLADESH",""
"RAYERBAGH , GODIGHOR , SHER E BANGLA ROAD , RAYER BAZAR , MOHAMMADPUR",""
"KPMG RAHMAN RAHMAN HUQ , 9 & 5 , BIR UTTAM A. K . KHANDAKAR ROAD , MOHAKHALI ,GULSHAN",""
"SAGORIKA MULTIPURPOSE HALL,ARMY STADIUM,BANANI",""
"UPAZILA HEALTH COMPLEX,KERANIGANJ KHOLAMORA KONAKHOLA RD,BHARALIA",""
"BUET GRADUATES CLUB LTD,BLOCK I,BANANI",""
"KAZI NAZRUL ISLAM INSTITUTE,RD 28,DHANMONDI",""
"MEMENTO HOMES , 43/A, ROAD 116, GULSHAN 1 , GULSHAN",""
"DHAKA TRADE CENTER,KAZI NAZRUL ISLAM AVE,KARWANBAZAR",""
"TECHNICAL BUS STOP,MIRPUR RD,DARUS SALAM",""
"CITY BANK LIMITED PALLABI BRANCH , ROAD 2 , MIRPUR 12",""
"STAR LINE BUS COUNTER SPECIAL , MANIKGANJ , TT PARA",""
"TRUST BANK LIMITED TARANAGAR BRANCH SHAHEED NUDDHIJIBI BRIDGE APROACH RD , MODHU CITY",""
"HAWKER FARUK BONDHU AT DHANMONDI,DHAKA,WEST",""
"MITHAI MIRPUR CHIRIAKHAN RD",""
"SHWAPNO PANTHAPATH NEW , BIR UTTAM QAZI NURUZZAMAN SARAK , WEST  PANTHAPATH",""
"SHYAMOLI SQUARE SHOPPING MALL , MIRPUR RD , SHYAMOLI",""
"RD 10,BLOCK H,BASUNDHARA R/A",""
"PSC CONVENTION HALL CAR PARKING,SECTION 13,MIRPUR",""
"CITY CENTRE,MOTUIJHEEL",""
"RUPALI BANK LIMITED DIT AVE , WATER TANK LAN , FAKIRAPOOL",""
"H  534 , RD 11 , BARIDHARA DOHS",""
"SHYAMPUR LAL MASJID , DHAKA NARAYANGANJ RD , SHYAMPUR",""
"RUMA'S ULTRASOUND , BLOCK B , MIRPUR 6",""
"AWAL CENTER,HPUSE 34,CO SPACE 
KAMAL ATATURK AVENUE,BLOCK D,BANANI,DHAKA 1213",""
"ASIFER TOILET,SOMPROSARITO PALLABI,MIRPUR 11.5",""
"MEDALLION FURNITURE , PANTHAPATH , DHANMONDI",""
"ALI NAGAR BAZAR , ALI NAGARE RD, KAMRANGIRCHAR",""
"KFC,5,2,AL HAJ ABDUS SOBHAN ROAD,BLOCK A, BASHUNDHARA R/A",""
"MIRPUR 10 FOOT OVER BRIDGE,SECTION",""
"ANWAR KHAN MODERN MEDICL COLLEGE RD 7 DHANMONDI",""
"12 , ROAD 13 , NIKUNJA 2",""
"SOUTHBREEZE SQUARE,52,GULSHAN AVENUE,DAKKHIN BADDA,GULSHAN",""
"MUKTERBARI JAME MASJID,SHIMULTALI SALNA RD,1702",""
"GRAND SULTAN RESTAURANT , PURANA PALT",""
"SMILING CHILDREN SPECIAL SCHOOL,BLOCK E,AFTABNAGAR",""
"LITTLE FLOWER SCHOOL , 122 , MIDDLE PERERBUG , MIRPUR , MUKTI HOUSING , DOKKHIN PIRERBAGH",""
"SORAI JAME MASJID ROAD,JATRABARI",""
"PAN DE ASIA RESTAURENT & CONVENTION HALL , SECTOR7 , UTTARA",""
"GRACE LAND 37B ROAD 114 GULSHAN 2 GULSHAN",""
