label,min_x,min_y,max_x,max_y
R4C4,90.36853053573321,23.69533641232574,90.37851001979269,23.704525892158426
R5C4,90.36834943327165,23.70435948302079,90.37832967934446,23.71354902197333
R6C4,90.3681682409435,23.713382541895584,90.37814924939022,23.722572139973668
R7C4,90.36798695872139,23.722405588946337,90.37796872990273,23.73159524615569
R8C4,90.36780558657794,23.731428624169318,90.3777881208547,23.740618340515642
R9C4,90.36762412448573,23.74045164756075,90.37760742221884,23.749641423049763
R10C4,90.36744257241733,23.749474659116874,90.37742663396786,23.758664493754306
R11C4,90.36726093034531,23.75849765883394,90.37724575607442,23.767687552625507
R12C4,90.36707919824217,23.76752064670817,90.37706478851115,23.776710599659623
R13C4,90.36689737608046,23.776543622735822,90.37688373125074,23.785733634852907
R14C4,90.36671546383268,23.78556658691314,90.37670258426577,23.794756658201592
R15C4,90.3665334614713,23.79458953923636,90.37652134752886,23.803779669701946
R16C4,90.3663513689688,23.80361247970173,90.37634002101258,23.812802669350205
R17C4,90.36616918629758,23.812635408305496,90.37615860468951,23.821825657142632
R18C4,90.36598691343013,23.82165832504391,90.37597709853218,23.830848633075473
R19C4,90.36580455033884,23.830681229913207,90.37579550251316,23.83987159714498
R20C4,90.36562209699608,23.839704122909634,90.3756138166049,23.84889454934741
R21C4,90.36543955337422,23.848727004029453,90.37543204077993,23.85791748967901
R22C4,90.36525691944566,23.8577498732689,90.37525017501073,23.86694041813605
R23C4,90.36507419518269,23.866772730624227,90.37506821926975,23.875963334714775
R24C4,90.36489138055767,23.875795576091697,90.37488617352942,23.884986239411436
R25C4,90.36470847554286,23.884818409667545,90.37470403776217,23.894009132222305
R26C4,90.36458068045455,23.893841231348027,90.3745218119404,23.900146002095184
R0C5,90.37905050437362,23.661574983304956,90.38898659137027,23.6685987620344
R1C5,90.37887043228005,23.668433254828326,90.38884705068388,23.677622009708596
R2C5,90.37869027076214,23.67745643186391,90.38866764979255,23.686645245592675
R3C5,90.37851001979269,23.686479597099954,90.38848815980981,23.69566846968287
R4C5,90.37832967934446,23.69550275053271,90.38830858070857,23.704691681975437
R5C5,90.37814924939022,23.704525892158426,90.3881289124617,23.713714882466615
R6C5,90.37796872990273,23.71354902197333,90.38794915504205,23.72273807115266
R7C5,90.3777881208547,23.722572139973668,90.38776930842248,23.731761248029823
R8C5,90.37760742221884,23.73159524615569,90.38758937257582,23.74078441309434
R9C5,90.37742663396786,23.740618340515642,90.38740934747487,23.74980756634248
R10C5,90.37724575607442,23.749641423049763,90.38722923309244,23.758830707770482
R11C5,90.37706478851115,23.758664493754306,90.38704902940128,23.76785383737461
R12C5,90.37688373125074,23.767687552625507,90.38686873637418,23.7768769551511
R13C5,90.37670258426577,23.776710599659623,90.38668835398386,23.78590006109623
R14C5,90.37652134752886,23.785733634852907,90.38650788220303,23.794923155206224
R15C5,90.37634002101258,23.794756658201592,90.3863273210044,23.803946237477366
R16C5,90.37615860468951,23.803779669701946,90.38614667036066,23.812969307905895
R17C5,90.37597709853218,23.812802669350205,90.38596593024447,23.82199236648808
R18C5,90.37579550251316,23.821825657142632,90.3857851006285,23.831015413220165
R19C5,90.3756138166049,23.830848633075473,90.38560418148536,23.84003844809841
R20C5,90.37543204077993,23.83987159714498,90.38542317278767,23.84906147111909
R21C5,90.37525017501073,23.84889454934741,90.38524207450803,23.858084482278443
R22C5,90.37506821926975,23.85791748967901,90.385060886619,23.86710748157275
R23C5,90.37488617352942,23.86694041813605,90.38487960909316,23.876130468998255
R24C5,90.37470403776217,23.875963334714775,90.38469824190305,23.885153444551236
R25C5,90.3745218119404,23.884986239411436,90.38451678502118,23.894176408227942
R26C5,90.37439782046525,23.894009132222305,90.38433523842006,23.90014858387844
R0C6,90.38884705068388,23.661577238113885,90.39878593517034,23.66876365095225
R1C6,90.38866764979255,23.6685987620344,90.39864368605846,23.677786969001364
R2C6,90.38848815980981,23.677622009708596,90.39846495639645,23.686810275269714
R3C6,90.38830858070857,23.686645245592675,90.398286137976,23.695833569753567
R4C6,90.3881289124617,23.69566846968287,90.3981072307701,23.704856852449172
R5C6,90.38794915504205,23.704691681975437,90.39792823475169,23.713880123352773
R6C6,90.38776930842248,23.713714882466615,90.39774914989378,23.722903382460636
R7C6,90.38758937257582,23.72273807115266,90.39756997616932,23.731926629769006
R8C6,90.38740934747487,23.731761248029823,90.39739071355122,23.740949865274146
R9C6,90.38722923309244,23.74078441309434,90.3972113620124,23.7499730889723
R10C6,90.38704902940128,23.74980756634248,90.39703192152574,23.758996300859753
R11C6,90.38686873637418,23.758830707770482,90.39685239206413,23.768019500932727
R12C6,90.38668835398386,23.76785383737461,90.39667277360041,23.777042689187503
R13C6,90.38650788220303,23.7768769551511,90.39649306610747,23.786065865620333
R14C6,90.3863273210044,23.78590006109623,90.39631326955806,23.79508903022748
R15C6,90.38614667036066,23.794923155206224,90.39613338392505,23.804112183005202
R16C6,90.38596593024447,23.803946237477366,90.39595340918117,23.81313532394976
R17C6,90.3857851006285,23.812969307905895,90.39577334529923,23.822158453057426
R18C6,90.38560418148536,23.82199236648808,90.39559319225198,23.83118157032445
R19C6,90.38542317278767,23.831015413220165,90.39541295001212,23.8402046757471
R20C6,90.38524207450803,23.84003844809841,90.3952326185524,23.84922776932164
R21C6,90.385060886619,23.84906147111909,90.39505219784549,23.85825085104434
