location,coordinates,latitude,longitude,grid_label
"AMERICAN CLUB AREA,ROAD 7,GULSHAN 2,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"AFTABNAGAR , DHAKA , BANGLADESH","(24.16667, 90.41667)",24.16667,90.41667,
"NANNA BIRIYANI , TIKATULI , WARI","(23.71667, 90.41667)",23.71667,90.41667,R6C8
"MILK VITA RD,MIRPUR 6","(23.8142732, 90.3621497)",23.8142732,90.3621497,R17C3
"EBRAHIM STEEL HOSUE AND LASER CUTTING , EAST NURERCHALA , SHAHJADPUR","(23.79191, 90.42498)",23.79191,90.42498,R14C9
"NUR FASHION , SHAH ALI BAG , MIRPUR 1","(23.805, 90.366)",23.805,90.366,R16C3
"20/3,ROAD NO 1,MOHAMMADI HOUSING LIMITED,MOHAMMADPUR","(23.7613115, 90.3535406)",23.7613115,90.3535406,R11C2
"PINK BEAUTY SALOON , GULSHAN 1, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"ADVANCE POLICE TOWN , DHAKA ARICHA HIGHWAY  1347","(24.3137, 89.6089)",24.3137,89.6089,
"MIRPUR RD,MIDDLE PAIKPARA,MIRPUR 1","(23.7962891, 90.3530603)",23.7962891,90.3530603,R15C2
"HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , NEW AIRPORT ROAD , KURMITOLA , SECTOR 2","(33.36074, 44.44738)",33.36074,44.44738,
"TIPTOP POLICE CANTEEN , ROAD 8 , SECTOR 10 ,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"HOTEL AND CATERING INSTITUTE BANGLADESH , RESIDENTIAL AREA , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"HOUSE SUILDING BUS STOP , SECTOR 6 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"SAYED NAZRUL ISLAM NATIONAL SWIMMING COMPLEX, MAIN RD, MIRPUR 10","(23.805, 90.366)",23.805,90.366,R16C3
"CONCORD BKASH TOWER, GULSHAN 2, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"SAAD KABAB GHAR, CERAMICS RD, 1340","(23.8442, 90.2511)",23.8442,90.2511,
"LAILA MOHOL , 26/10 , BLOCK D , SHER SHAH SURI ROAD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"ROAD 25 , RAYER BAZAR , LALMATIA","(24.43374, 88.45688)",24.43374,88.45688,
"POPULAR PHARMACY,ZAFRABAD,MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"JAMUNA PLAZA,AL HAJ ABDUS SOBHAN RD,NIKUNJA 1,BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"AL NOOR EYE HOSPITAL , NOOR MAKKA COMPLEX , ZAFRABAD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"FORD BANGLADESH , M&U MOTORS LIMITED INDUSTRIAL AREA , TEJGAON","(40.40225, -3.71029)",40.40225,-3.71029,
"H 13 , RD 18 , BANANI","(23.7951763, 90.4048304)",23.7951763,90.4048304,R14C7
"SHIKDER BARI , EASTERN HOUSING , GOLDEN STREET, SHYMOLI, MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"HOUSE 383/A , KAYKOBAD ROAD , KATSUR , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"ECB CHATTAR BUS STOP,,MIRPUR DOHS LINK RD,MATIKATA","(25.14906, 88.65018)",25.14906,88.65018,
"NEW ROSHMELA SWEETS AND BAKERY,VATARA RD,NATUN BAZAR","(25.74442, 88.49186)",25.74442,88.49186,
"EMBASSY OF THE UNITED ARAB EMIRATES CONSULAR SECTION , GULSHAN 2 , GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"ARMY GOLF CLUB ENTRANCE , NIKUNJA 1, BARIDHARA","(23.80254, 90.42117)",23.80254,90.42117,R15C9
"NESCAFE, STATION RD , KAMALPUR","(23.36619, 91.20671)",23.36619,91.20671,
"MAYER DOYA PHARMACY AND TELICOM,RAYERBAG,SONIR AKHRA","(24.9058, 88.77014)",24.9058,88.77014,
"GAZIPUR CHOWRASTA BUS STAND , DHAKA MYMENSINGH , GAZIPUR","(23.9897895, 90.3817038)",23.9897895,90.3817038,
SONIRAKHRA ZAPANI BAZAR,"(25.74442, 88.49186)",25.74442,88.49186,
"SHANTA AVE , GULSHAN 2, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"H 41, RD 16 , NIKUNJA 2","(23.8339024, 90.4164755)",23.8339024,90.4164755,R19C9
"WIRELESS , LALMATIA","(24.43374, 88.45688)",24.43374,88.45688,
"POPULAR DIAGNOSTIC CENTER , SHANTINAGAR RD","(23.7410018, 90.4123167)",23.7410018,90.4123167,R8C8
"ARANYA , ROAD 19A , BANANI","(23.7931264, 90.4092824)",23.7931264,90.4092824,R14C8
"BANGLADESH MEDICAL COLLEGE HOSPITAL,RD 14,SANKAR,DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"REST ROOM,AIRPORT ROAD,NEW AIPORT ROAD,KURMITOLA,SECTOR 2","(33.36074, 44.44738)",33.36074,44.44738,
"H 19/5 , TAJMAHAL RD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"RUPAYAN VIEW HOUSE 13/A,ROAD 2/A,SECTOR 5,UTTARA,DHAKA 1230","(24.16667, 90.41667)",24.16667,90.41667,
"GADNAIL HIGH SCHOOL,ARAMBAG SARAK,ARAMBAG,GODENAIL,NARAYANGANJ","(23.61352, 90.50298)",23.61352,90.50298,
"RUPAYAN CITY UTTARA,NALBHOG","(23.87885, 90.37087)",23.87885,90.37087,R24C4
"M/S RABBI MOTOS , 37/2 , MIRPUR ROAD , MUKTI HOUSING , SHYAMOLI","(23.77438, 90.36538)",23.77438,90.36538,R12C3
"SANOWAR TEA STALL , WEST , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"NAVANA HORGS BEH,HOUSE 226,SAYEM SOBHAN ANVIR ROAD,BLOCK C,BASUNDHARA R/A","(0.5, 32.0)",0.5,32.0,
"WORLD UNIVERSITY OF BANGLADESH(WUB),SECTOR 17,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"NOPE TOWER,NORTH BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"FARIHA KNIT TEX LIMITED , WEST MASDAIR , FATULLAH , NARAYANGANJ , 1400","(23.7219, 90.5789)",23.7219,90.5789,
"MILON'S DENTAL CARE , WEST, DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"STARKABAB HOTEL , RD 2, DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"BISMILLAH STORE 2,BLOCK DHA,MIRPUR 12","(23.805, 90.366)",23.805,90.366,R16C3
"GAZIPUR CHOWRASTA BUS STAND,DHAKA MYMENSING,GAZIPUR","(25.25, 89.5)",25.25,89.5,
"VISION GLOBAL SCHOOL , H 27 , RD 10 , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"M/S UTTARA READERS , ROAD 10 , SECTOR -04, UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
HOUSE 117 ROAD 11 BLOCK E BANANI DHAKA,"(23.7109566, 90.4228009)",23.7109566,90.4228009,R5C9
"AMTOLA BAZAR , 60 FEET , MIRPUR 2","(23.805, 90.366)",23.805,90.366,R16C3
"DHAKA MEDICAL COLLEGE HOSPITAL , SECRETARIAT ROAD , DHAKA , BANGLADESH","(24.16667, 90.41667)",24.16667,90.41667,
"LION HOTEL & RESTURANT,J 79,GULSHAN LINK RD,MIDDLE BADDA","(42.273974, 23.6001433)",42.273974,23.6001433,
"IBN SINA PHYSIOTHERAPY AND DENTAL CENTER , ADARSHA NAGAR , BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"LOGIC SOFTWARE LIMITED,GULSHAN 2,GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,R14C9
"HOUSE BUILDING BUS STOPSGE , UTTARA ROAD 10 , SECTOR 6 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"CUSTOMIZATION BD,BLOCK H,MIRPUR 2","(23.805, 90.366)",23.805,90.366,R16C3
"AB BANK ATM,EASTERN POINT,8-9,SHANTINAGAR,DHAKA","(24.16667, 90.41667)",24.16667,90.41667,
"AVE RD , BLOCK A , PALLABI","(23.825, 90.37)",23.825,90.37,R18C4
