location,coordinates,latitude,longitude,geometry,grid_label
"LA - DONNA , BLOCK E , BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"GREEM VILLA OUTDOORS , MADANI AVENUE 100 FEET ROAD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"16/1, BLOCK C, TAJMAHAL ROAD , MOHAMMADPUR","(23.7640513, 90.3625579)",23.7640513,90.3625579,POINT (90.3625579 23.764051299999995),R20C21
"CHONDRIMA NURSERY , SECTION 1 , MIRPUR","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"POLICE PLAZA CONCORD SHOPPING MALL  , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"41/3,JOHURI MOHOLLA,BLOCK F,MOHAMMADPUR","(23.7710116, 90.3632691)",23.7710116,90.3632691,POINT (90.3632691 23.7710116),R20C21
"H 1/36, BABAR RD , METROPOLITAN COOPERATIVE HOUSING SOCIETY, MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"DUTCH EMBASSY , GULSHAN 2, GULSHAN","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"HOT CAKE , SHAMOLY CINEMA HALL COMPLEX , RING ROAD MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,POINT (90.35851 23.765900000000002),R20C21
"ASA UNIVERSITY BANGLADESH , KHILJI RD , SHYAMOLI","(23.7732003, 90.3666007)",23.7732003,90.3666007,POINT (90.3666007 23.773200300000003),R20C21
"ma pharmacy , sector 9 , uttara","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"EMMANUELLES CONVENTION CENTER,RESIDENTIAL AREA,DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"BAISHTEKI CENTRAL JAME MASJID , SECTION 13 , MIRPUR","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"SWAPNO BILASH , BANANI DOHS","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"BDM HOSPITAL,H 5/17,HUMAYUN RD,BIHARI CAMP BAZAR","(25.74442, 88.49186)",25.74442,88.49186,POINT (88.49186 25.744420000000005),R65C-16
"INTER CONTINENTAL DHAKA HOTEL, SHAHBAG","(23.738, 90.4)",23.738,90.4,POINT (90.40000000000002 23.738),R20C22
"28 , ROAD 16 , NIKUNJA 2","(23.8339024, 90.4164755)",23.8339024,90.4164755,POINT (90.4164755 23.833902400000003),R22C22
"AEROPLANE MASJID,SHAHID JANANI JAHANARA IMAM SARANI,ELEPHANT RD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"TITAS PAE INTERNATIONAL , HOUSE 484, ROAD 32 , MOHAKHALI DOHS , MOHAKHALI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"BALUR MATH , BASABO","(23.738195, 90.4306125)",23.738195,90.4306125,POINT (90.43061250000001 23.738195),R20C23
"BAITUL SOKINA JAME MASJID , EAST RAJABAZAR CHRISTAN PARA , FARMGATE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"H 9/3,TOYENBEE CIRCULAR RD,ARAMBAG","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SYMPHONY CUTOMER CARE,NARAYANGANJ, B B RD,BALUR MATH,NARAYANGANJ SADAR,NARAYANGANJ 1400","(23.61352, 90.50298)",23.61352,90.50298,POINT (90.50298 23.61352),R17C24
"KHILGAON IMAMBAG JAME MASJID,KHILGAON JHEELPAR RD,TALTOLA,KHILGAOON","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"DHAKA INTERNATIONAL UNIVERSITY PERMANENT CAMPUS,VATARA RD","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"116, ROAD 4, BLOCK C, BASHUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ARTS FACULTY , UNIVERSITY MAIN RD , SAVAR , 1342","(24.3137, 89.6089)",24.3137,89.6089,POINT (89.60890000000002 24.313700000000004),R33C6
"SAKIBUL KARIM CHOWDHURY ROAD ,, MOHANAGAR PROJECT , RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,POINT (90.42051 23.76261),R20C22
"NEW ANTIC FURNITURE,COCA COLA ROAD,VATARA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"NAJEEBITES,BLOCK J,BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"GUL EYE HOSPITAL UTTARA,SECTOR 13","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"masdair , naryanganj","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
ONJOLY LADIES TAILOR'S 46/A DOLPHIN GOLI DHANMONDI,"(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"KHALEQUE PETROLEUM PUMP , MIRPUR RD , DARIS SALAM","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"JAMUNA FUTURE PARK , NSU RD , BLOCK B , BASUNDHARA R/A","(38.5, -0.5)",38.5,-0.5,POINT (-0.5000000000024625 38.49999999999856),R1591C-1262
"LOKI RESTAURANT & BAR,KEMAL ATATURK AVENUE,BANANI","(47.3678023, 8.8197926)",47.3678023,8.8197926,POINT (8.819792600000168 47.367802299999944),R1375C-969
"HOUSE 22, ROAD 4 , BLOCK C, BANANI , DHAKA","(23.7968846, 90.4068193)",23.7968846,90.4068193,POINT (90.4068193 23.796884599999995),R21C22
"H 24,RD 1,BLOCK A,BANASHREE","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"CHEEZ DHANMONDI,WEST","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"5, ROAD 3, SECTION 12","(22.8933377, 91.5339391)",22.8933377,91.5339391,POINT (91.5339391 22.8933377),R1C45
"RD 19/3 , RUPNAGAR , PALLABI","(23.825, 90.37)",23.825,90.37,POINT (90.37 23.824999999999992),R22C21
"CRP , DHAKA ARICHA HIGHWAY , NOBINAGAR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"JAMTOLA BAZAR , BINDU BRITTO GOLI , EAST SHEWRAPARA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"NAVANA TALIL DEL RINIERA,54,ROAD 15.BANANI","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"GLEMRICH INTERNATIONAL SCHOOL, SUNVALLEY SHARONI , SATARKUL, BADDA","(24.34671, 90.00523)",24.34671,90.00523,POINT (90.00523 24.346710000000005),R33C14
"CITY BANK LTD , BEGUM ROKEYA SARANI , KAZIPARA","(25.74623, 89.0251)",25.74623,89.0251,POINT (89.0251 25.746230000000008),R65C-5
"SYMPHONY TOWER , GULSHAN 1","(23.7917, 90.4167)",23.7917,90.4167,POINT (90.4167 23.791700000000002),R21C22
"KHAJA BABA MOSQUE ROAD , RAYER BAZAR , HAZARIBAGH","(23.743244, 90.3556192)",23.743244,90.3556192,POINT (90.3556192 23.743243999999997),R20C21
"AMAR HAT,SECTOR 10,UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"HOUSE 1224,ROAD 29,BLOCK K,BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"TAMPO STAND , BASABO RD , MIDDLE BASABO","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"NAGAR PHARMA , BLOCK B , AFTABNAGAR","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
