location,area
"""IBN SINA MEDICAL COLLEGE AND HOSPITAL, KALLYANPUR""",Kallyanpur
"""AHN TOWER, BIR UTTAM CR DATTA RD, HATIRPOOL""",Hatirpool
"""SHAMEEM REFRIGERATION WORKS LTD, GULSHAN 1, GULSHAN""",Gulshan
"""PWD JAME MASJID, RAJARBAG""",Rajarbagh
"""GOLAP VILLA 1, 37, ROAD 10A, DHANMONDI R/A""",Dhanmondi
"""ARONG ER GOLI, WIRELESS, MOGBAZAR""",Moghbazar
"""HIGH PARK RESIDENCE, H 99, VIQARUNNISA RD, SHIDDESWARI""",Siddheshwari
"""J AND J ENTERPRISE, HOUSE 144, KHILBARIRTEK MAIN ROAD, VATARA, DHAKA 1212""",Vatara
"""MOHAMMADIA R/A MAIN RD, PROMINENT HOUSING, MOHAMMADPUR""",Mohammadpur
"""HOUSE 14, ROAD 6, SECTOR 10, UTTARA""",Uttara
"""WEAT MERUL JAME MASJID, WEST MERUL BADDA RD, MERUL BADDA""",Badda
"""FERNS WOOD, 41, RAJA BAZAR INDIRA ROAD, DHANMONDI""",Dhanmondi
"""LAKE CITY CONCORD, KHILKHET""",Khilkhet
"""HOUSE 430, ROAD 17, BLOCK A, BASHUNDHARA R/A""",Bashundhara
"""GALAXY MEDICINE CORNER, 1/1, SECTION 2""",Mirpur
"""AYESHA VILLA, H 680, RD 12A, ADABOR""",Adabor
"""SHOHAG TEA STORE, SECTOR 8, UTTARA""",Uttara
"""BEIRUT 99, 235, ROAD 13E, BANANI""",Banani
"""SAMIR ELECTRONIC, 445, 445/1, GREENWAY ROAD, WIRELESS, MOGBAZAR""",Moghbazar
"""CK MARITIME LTD, PLOT 836, ROAD 12, AVENUE 3, MIRPUR DOHS""",Mirpur
"""52/2, SALIM UDDIN MARKET ROAD, SENPARA PARBATA, AHMED NAGAR""",Mirpur
"""ORIENTA MULTI PURPOSE COOPERATIVE, FOOTOVERBRIDGE, NIJHUM RESIDENTIAL AREA, HAZARIBAG""",Hazaribagh
"""CITY BANK ATM, BIR UTTAM MIR SHAWKAT SARAK, TEJGAON""",Tejgaon
"""OGSB HOSPITAL, BLOCK C, MIRPUR 13""",Mirpur
"""SATTAR VABAN, H 32/3, RD 10, JANATA HOUSING, MOHAMMADPUR""",Mohammadpur
